‾	horná čiara
👨🏼	brat, chlap, dospelý, kamarát, muž, muž: stredne svetlý tón pleti, osoba, priateľ, stredne svetlý tón pleti
👨🏽	brat, chlap, dospelý, kamarát, muž, muž: stredný tón pleti, osoba, priateľ, stredný tón pleti
👨🏾	brat, chlap, dospelý, kamarát, muž, muž: stredne tmavý tón pleti, osoba, priateľ, stredne tmavý tón pleti
👨🏿	brat, chlap, dospelý, kamarát, muž, muž: tmavý tón pleti, osoba, priateľ, tmavý tón pleti
🧔	brada, bradatý, bradáč, fúzatý, fúzy, muž s bradou, osoba s bradou, zarastený
🧔🏻	brada, bradatý, bradáč, bradáč: svetlý tón pleti, fúzatý, fúzy, muž s bradou, osoba s bradou, svetlý tón pleti, zarastený
🧔🏼	brada, bradatý, bradáč, bradáč: stredne svetlý tón pleti, fúzatý, fúzy, muž s bradou, osoba s bradou, stredne svetlý tón pleti, zarastený
🧔🏽	brada, bradatý, bradáč, bradáč: stredný tón pleti, fúzatý, fúzy, muž s bradou, osoba s bradou, stredný tón pleti, zarastený
🧔🏾	brada, bradatý, bradáč, bradáč: stredne tmavý tón pleti, fúzatý, fúzy, muž s bradou, osoba s bradou, stredne tmavý tón pleti, zarastený
🧔🏿	brada, bradatý, bradáč, bradáč: tmavý tón pleti, fúzatý, fúzy, muž s bradou, osoba s bradou, tmavý tón pleti, zarastený
🧔‍♂	brada, bradatý muž, muž
🧔🏻‍♂	brada, bradatý muž, bradatý muž: svetlý tón pleti, muž, svetlý tón pleti
🧔🏼‍♂	brada, bradatý muž, bradatý muž: stredne svetlý tón pleti, muž, stredne svetlý tón pleti
🧔🏽‍♂	brada, bradatý muž, bradatý muž: stredný tón pleti, muž, stredný tón pleti
🧔🏾‍♂	brada, bradatý muž, bradatý muž: stredne tmavý tón pleti, muž, stredne tmavý tón pleti
🧔🏿‍♂	brada, bradatý muž, bradatý muž: tmavý tón pleti, muž, tmavý tón pleti
👱‍♂	blond, blondín, muž, svetlovlasý
👱🏻‍♂	blond, blondín, blondín: svetlý tón pleti, muž, svetlovlasý, svetlý tón pleti
👱🏼‍♂	blond, blondín, blondín: stredne svetlý tón pleti, muž, stredne svetlý tón pleti, svetlovlasý
👱🏽‍♂	blond, blondín, blondín: stredný tón pleti, muž, stredný tón pleti, svetlovlasý
👱🏾‍♂	blond, blondín, blondín: stredne tmavý tón pleti, muž, stredne tmavý tón pleti, svetlovlasý
👱🏿‍♂	blond, blondín, blondín: tmavý tón pleti, muž, svetlovlasý, tmavý tón pleti
👨🏻‍❤‍💋‍👨🏻	bozk, bozk: muž, muž, svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, svetlý tón pleti, výročie
👨🏻‍❤‍💋‍👨🏼	bozk, bozk: muž, muž, svetlý tón pleti, stredne svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍💋‍👨🏽	bozk, bozk: muž, muž, svetlý tón pleti, stredný tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍💋‍👨🏾	bozk, bozk: muž, muž, svetlý tón pleti, stredne tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍💋‍👨🏿	bozk, bozk: muž, muž, svetlý tón pleti, tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, svetlý tón pleti, tmavý tón pleti, výročie
👨🏼‍❤‍💋‍👨🏻	bozk, bozk: muž, muž, stredne svetlý tón pleti, svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
👨🏼‍❤‍💋‍👨🏼	bozk, bozk: muž, muž, stredne svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, výročie
👨🏼‍❤‍💋‍👨🏽	bozk, bozk: muž, muž, stredne svetlý tón pleti, stredný tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
👨🏼‍❤‍💋‍👨🏾	bozk, bozk: muž, muž, stredne svetlý tón pleti, stredne tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
👨🏼‍❤‍💋‍👨🏿	bozk, bozk: muž, muž, stredne svetlý tón pleti, tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
👨🏽‍❤‍💋‍👨🏻	bozk, bozk: muž, muž, stredný tón pleti, svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, svetlý tón pleti, výročie
👨🏽‍❤‍💋‍👨🏼	bozk, bozk: muž, muž, stredný tón pleti, stredne svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
👨🏽‍❤‍💋‍👨🏽	bozk, bozk: muž, muž, stredný tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, výročie
👨🏽‍❤‍💋‍👨🏾	bozk, bozk: muž, muž, stredný tón pleti, stredne tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
👨🏽‍❤‍💋‍👨🏿	bozk, bozk: muž, muž, stredný tón pleti, tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, tmavý tón pleti, výročie
👨🏾‍❤‍💋‍👨🏻	bozk, bozk: muž, muž, stredne tmavý tón pleti, svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
👨🏾‍❤‍💋‍👨🏼	bozk, bozk: muž, muž, stredne tmavý tón pleti, stredne svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
👨🏾‍❤‍💋‍👨🏽	bozk, bozk: muž, muž, stredne tmavý tón pleti, stredný tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
👨🏾‍❤‍💋‍👨🏾	bozk, bozk: muž, muž, stredne tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, výročie
👨🏾‍❤‍💋‍👨🏿	bozk, bozk: muž, muž, stredne tmavý tón pleti, tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍💋‍👨🏻	bozk, bozk: muž, muž, tmavý tón pleti, svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, svetlý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍💋‍👨🏼	bozk, bozk: muž, muž, tmavý tón pleti, stredne svetlý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍💋‍👨🏽	bozk, bozk: muž, muž, tmavý tón pleti, stredný tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredný tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍💋‍👨🏾	bozk, bozk: muž, muž, tmavý tón pleti, stredne tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍💋‍👨🏿	bozk, bozk: muž, muž, tmavý tón pleti, láska, muž, pusa, pár, rande, romanca, romantika, srdce, tmavý tón pleti, výročie
👨🏻‍❤‍👨🏻	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, svetlý tón pleti, rande, romanca, srdce, svetlý tón pleti, výročie
👨🏻‍❤‍👨🏼	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, svetlý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍👨🏽	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, svetlý tón pleti, stredný tón pleti, rande, romanca, srdce, stredný tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍👨🏾	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, svetlý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
👨🏻‍❤‍👨🏿	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, svetlý tón pleti, tmavý tón pleti, rande, romanca, srdce, svetlý tón pleti, tmavý tón pleti, výročie
👨🏼‍❤‍👨🏻	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne svetlý tón pleti, svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, svetlý tón pleti, výročie
👨🏼‍❤‍👨🏼	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, výročie
👨🏼‍❤‍👨🏽	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne svetlý tón pleti, stredný tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
👨🏼‍❤‍👨🏾	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne svetlý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
👨🏼‍❤‍👨🏿	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne svetlý tón pleti, tmavý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
👨🏽‍❤‍👨🏻	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredný tón pleti, svetlý tón pleti, rande, romanca, srdce, stredný tón pleti, svetlý tón pleti, výročie
👨🏽‍❤‍👨🏼	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredný tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredný tón pleti, výročie
👨🏽‍❤‍👨🏽	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredný tón pleti, rande, romanca, srdce, stredný tón pleti, výročie
👨🏽‍❤‍👨🏾	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredný tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
👨🏽‍❤‍👨🏿	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredný tón pleti, tmavý tón pleti, rande, romanca, srdce, stredný tón pleti, tmavý tón pleti, výročie
👨🏾‍❤‍👨🏻	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne tmavý tón pleti, svetlý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, svetlý tón pleti, výročie
👨🏾‍❤‍👨🏼	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne tmavý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, stredne tmavý tón pleti, výročie
👨🏾‍❤‍👨🏽	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne tmavý tón pleti, stredný tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, stredný tón pleti, výročie
👨🏾‍❤‍👨🏾	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, výročie
👨🏾‍❤‍👨🏿	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, stredne tmavý tón pleti, tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍👨🏻	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, tmavý tón pleti, svetlý tón pleti, rande, romanca, srdce, svetlý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍👨🏼	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, tmavý tón pleti, stredne svetlý tón pleti, rande, romanca, srdce, stredne svetlý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍👨🏽	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, tmavý tón pleti, stredný tón pleti, rande, romanca, srdce, stredný tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍👨🏾	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, tmavý tón pleti, stredne tmavý tón pleti, rande, romanca, srdce, stredne tmavý tón pleti, tmavý tón pleti, výročie
👨🏿‍❤‍👨🏿	bozk, dvojica, láska, muž, pusa, pár, pár so srdcom, pár so srdcom: muž, muž, tmavý tón pleti, rande, romanca, srdce, tmavý tón pleti, výročie
👨‍🦰	brat, chlap, dospelý, kamarát, muž, muž: ryšavé vlasy, osoba, priateľ, ryšavé vlasy
👨🏻‍🦰	brat, chlap, dospelý, kamarát, muž, muž: svetlý tón pleti, ryšavé vlasy, osoba, priateľ, ryšavé vlasy, svetlý tón pleti
👨🏼‍🦰	brat, chlap, dospelý, kamarát, muž, muž: stredne svetlý tón pleti, ryšavé vlasy, osoba, priateľ, ryšavé vlasy, stredne svetlý tón pleti
👨🏽‍🦰	brat, chlap, dospelý, kamarát, muž, muž: stredný tón pleti, ryšavé vlasy, osoba, priateľ, ryšavé vlasy, stredný tón pleti
👨🏾‍🦰	brat, chlap, dospelý, kamarát, muž, muž: stredne tmavý tón pleti, ryšavé vlasy, osoba, priateľ, ryšavé vlasy, stredne tmavý tón pleti
👨🏿‍🦰	brat, chlap, dospelý, kamarát, muž, muž: tmavý tón pleti, ryšavé vlasy, osoba, priateľ, ryšavé vlasy, tmavý tón pleti
👨‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: kučeravé vlasy, osoba, priateľ
👨🏻‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: svetlý tón pleti, kučeravé vlasy, osoba, priateľ, svetlý tón pleti
👨🏼‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: stredne svetlý tón pleti, kučeravé vlasy, osoba, priateľ, stredne svetlý tón pleti
👨🏽‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: stredný tón pleti, kučeravé vlasy, osoba, priateľ, stredný tón pleti
👨🏾‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: stredne tmavý tón pleti, kučeravé vlasy, osoba, priateľ, stredne tmavý tón pleti
👨🏿‍🦱	brat, chlap, dospelý, kamarát, kučeravé vlasy, muž, muž: tmavý tón pleti, kučeravé vlasy, osoba, priateľ, tmavý tón pleti
👨‍🦳	brat, chlap, dospelý, kamarát, muž, muž: sivé vlasy, osoba, priateľ, sivé vlasy
👨🏻‍🦳	brat, chlap, dospelý, kamarát, muž, muž: svetlý tón pleti, sivé vlasy, osoba, priateľ, sivé vlasy, svetlý tón pleti
👨🏼‍🦳	brat, chlap, dospelý, kamarát, muž, muž: stredne svetlý tón pleti, sivé vlasy, osoba, priateľ, sivé vlasy, stredne svetlý tón pleti
👨🏽‍🦳	brat, chlap, dospelý, kamarát, muž, muž: stredný tón pleti, sivé vlasy, osoba, priateľ, sivé vlasy, stredný tón pleti
👨🏾‍🦳	brat, chlap, dospelý, kamarát, muž, muž: stredne tmavý tón pleti, sivé vlasy, osoba, priateľ, sivé vlasy, stredne tmavý tón pleti
👨🏿‍🦳	brat, chlap, dospelý, kamarát, muž, muž: tmavý tón pleti, sivé vlasy, osoba, priateľ, sivé vlasy, tmavý tón pleti
👨‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: holá hlava, osoba, priateľ
👨🏻‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: svetlý tón pleti, holá hlava, osoba, priateľ, svetlý tón pleti
👨🏼‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: stredne svetlý tón pleti, holá hlava, osoba, priateľ, stredne svetlý tón pleti
👨🏽‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: stredný tón pleti, holá hlava, osoba, priateľ, stredný tón pleti
👨🏾‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: stredne tmavý tón pleti, holá hlava, osoba, priateľ, stredne tmavý tón pleti
👨🏿‍🦲	brat, chlap, dospelý, holá hlava, kamarát, muž, muž: tmavý tón pleti, holá hlava, osoba, priateľ, tmavý tón pleti
👩	dospelá, osoba, vlasy, účes, žena
👩🏻	dospelá, osoba, svetlý tón pleti, vlasy, účes, žena, žena: svetlý tón pleti
👩🏼	dospelá, osoba, stredne svetlý tón pleti, vlasy, účes, žena, žena: stredne svetlý tón pleti
👩🏽	dospelá, osoba, stredný tón pleti, vlasy, účes, žena, žena: stredný tón pleti
👩🏾	dospelá, osoba, stredne tmavý tón pleti, vlasy, účes, žena, žena: stredne tmavý tón pleti
👩🏿	dospelá, osoba, tmavý tón pleti, vlasy, účes, žena, žena: tmavý tón pleti
🧔‍♀	brada, bradatá žena, žena
🧔🏻‍♀	brada, bradatá žena, bradatá žena: svetlý tón pleti, svetlý tón pleti, žena
🧔🏼‍♀	brada, bradatá žena, bradatá žena: stredne svetlý tón pleti, stredne svetlý tón pleti, žena
🧔🏽‍♀	brada, bradatá žena, bradatá žena: stredný tón pleti, stredný tón pleti, žena
🧔🏾‍♀	brada, bradatá žena, bradatá žena: stredne tmavý tón pleti, stredne tmavý tón pleti, žena
🧔🏿‍♀	brada, bradatá žena, bradatá žena: tmavý tón pleti, tmavý tón pleti, žena
👱‍♀	blond, blondína, blondínka, drdol, osoba, svetlovlasá, žena
👱🏻‍♀	blond, blondína, blondína: svetlý tón pleti, blondínka, drdol, osoba, svetlovlasá, svetlý tón pleti, žena
👱🏼‍♀	blond, blondína, blondína: stredne svetlý tón pleti, blondínka, drdol, osoba, stredne svetlý tón pleti, svetlovlasá, žena
