‾	oorheendruk, oorstreep, vinkulum
🙋🏿	donker velkleur, ek, ek kan help, ek weet, gebaar, gelukkig, gelukkige persoon met hand in die lug, hand, hande, hierso, kies my, omhoog, persoon steek hand op, persoon wat hand opsteek, persoon wat hand opsteek: donker velkleur, tot siens, vraag, waai
🙋‍♂	Ek weet!, ek, gebaar, groet, hand, hande, lig hand, man lig hand, man wat hand opsteek, opgesteek, persoon wat hand opsteek, vraag, waai
🙋🏻‍♂	Ek weet!, ek, gebaar, groet, hand, hande, lig hand, ligte velkleur, man lig hand, man wat hand opsteek, man wat hand opsteek: ligte velkleur, opgesteek, persoon wat hand opsteek, vraag, waai
🙋🏼‍♂	Ek weet!, ek, gebaar, groet, hand, hande, lig hand, man lig hand, man wat hand opsteek, man wat hand opsteek: medium-ligte velkleur, medium-ligte velkleur, opgesteek, persoon wat hand opsteek, vraag, waai
🙋🏽‍♂	Ek weet!, ek, gebaar, groet, hand, hande, lig hand, man lig hand, man wat hand opsteek, man wat hand opsteek: medium velkleur, medium velkleur, opgesteek, persoon wat hand opsteek, vraag, waai
🙋🏾‍♂	Ek weet!, ek, gebaar, groet, hand, hande, lig hand, man lig hand, man wat hand opsteek, man wat hand opsteek: medium-donker velkleur, medium-donker velkleur, opgesteek, persoon wat hand opsteek, vraag, waai
🙋🏿‍♂	Ek weet!, donker velkleur, ek, gebaar, groet, hand, hande, lig hand, man lig hand, man wat hand opsteek, man wat hand opsteek: donker velkleur, opgesteek, persoon wat hand opsteek, vraag, waai
🙋‍♀	groet, lig hand, vrou lig hand, vrou wat hand opsteek, waai
🙋🏻‍♀	groet, lig hand, ligte velkleur, vrou lig hand, vrou wat hand opsteek, vrou wat hand opsteek: ligte velkleur, waai
🙋🏼‍♀	groet, lig hand, medium-ligte velkleur, vrou lig hand, vrou wat hand opsteek, vrou wat hand opsteek: medium-ligte velkleur, waai
🙋🏽‍♀	groet, lig hand, medium velkleur, vrou lig hand, vrou wat hand opsteek, vrou wat hand opsteek: medium velkleur, waai
🙋🏾‍♀	groet, lig hand, medium-donker velkleur, vrou lig hand, vrou wat hand opsteek, vrou wat hand opsteek: medium-donker velkleur, waai
🙋🏿‍♀	donker velkleur, groet, lig hand, vrou lig hand, vrou wat hand opsteek, vrou wat hand opsteek: donker velkleur, waai
🧏	doof, dowe persoon, gestremde, hoor, oor, toeganklikheid
🧏🏻	doof, dowe persoon, dowe persoon: ligte velkleur, gestremde, hoor, ligte velkleur, oor, toeganklikheid
🧏🏼	doof, dowe persoon, dowe persoon: medium-ligte velkleur, gestremde, hoor, medium-ligte velkleur, oor, toeganklikheid
🧏🏽	doof, dowe persoon, dowe persoon: medium velkleur, gestremde, hoor, medium velkleur, oor, toeganklikheid
🧏🏾	doof, dowe persoon, dowe persoon: medium-donker velkleur, gestremde, hoor, medium-donker velkleur, oor, toeganklikheid
🧏🏿	donker velkleur, doof, dowe persoon, dowe persoon: donker velkleur, gestremde, hoor, oor, toeganklikheid
🧏‍♂	doof, dowe man, man
🧏🏻‍♂	doof, dowe man, dowe man: ligte velkleur, ligte velkleur, man
🧏🏼‍♂	doof, dowe man, dowe man: medium-ligte velkleur, man, medium-ligte velkleur
🧏🏽‍♂	doof, dowe man, dowe man: medium velkleur, man, medium velkleur
🧏🏾‍♂	doof, dowe man, dowe man: medium-donker velkleur, man, medium-donker velkleur
🧏🏿‍♂	donker velkleur, doof, dowe man, dowe man: donker velkleur, man
🧏‍♀	doof, dowe vrou, vrou
🧏🏻‍♀	doof, dowe vrou, dowe vrou: ligte velkleur, ligte velkleur, vrou
🧏🏼‍♀	doof, dowe vrou, dowe vrou: medium-ligte velkleur, medium-ligte velkleur, vrou
🧏🏽‍♀	doof, dowe vrou, dowe vrou: medium velkleur, medium velkleur, vrou
🧏🏾‍♀	doof, dowe vrou, dowe vrou: medium-donker velkleur, medium-donker velkleur, vrou
🧏🏿‍♀	donker velkleur, doof, dowe vrou, dowe vrou: donker velkleur, vrou
🙇	apologie, buig, gebaar, guns, jammer, man buig, meditasie, mediteer, persoon buig, persoon wat buig, smeek, spyt, vergewe, verskoning, verwyt
🙇🏻	apologie, buig, gebaar, guns, jammer, ligte velkleur, man buig, meditasie, mediteer, persoon buig, persoon wat buig, persoon wat buig: ligte velkleur, smeek, spyt, vergewe, verskoning, verwyt
🙇🏼	apologie, buig, gebaar, guns, jammer, man buig, meditasie, mediteer, medium-ligte velkleur, persoon buig, persoon wat buig, persoon wat buig: medium-ligte velkleur, smeek, spyt, vergewe, verskoning, verwyt
🙇🏽	apologie, buig, gebaar, guns, jammer, man buig, meditasie, mediteer, medium velkleur, persoon buig, persoon wat buig, persoon wat buig: medium velkleur, smeek, spyt, vergewe, verskoning, verwyt
🙇🏾	apologie, buig, gebaar, guns, jammer, man buig, meditasie, mediteer, medium-donker velkleur, persoon buig, persoon wat buig, persoon wat buig: medium-donker velkleur, smeek, spyt, vergewe, verskoning, verwyt
🙇🏿	apologie, buig, donker velkleur, gebaar, guns, jammer, man buig, meditasie, mediteer, persoon buig, persoon wat buig, persoon wat buig: donker velkleur, smeek, spyt, vergewe, verskoning, verwyt
🙇‍♂	buig, gebaar, guns, jammer, man, man buig, verskoning
🙇🏻‍♂	buig, gebaar, guns, jammer, ligte velkleur, man, man buig: ligte velkleur, verskoning
🙇🏼‍♂	buig, gebaar, guns, jammer, man, man buig: medium-ligte velkleur, medium-ligte velkleur, verskoning
🙇🏽‍♂	buig, gebaar, guns, jammer, man, man buig: medium velkleur, medium velkleur, verskoning
🙇🏾‍♂	buig, gebaar, guns, jammer, man, man buig: medium-donker velkleur, medium-donker velkleur, verskoning
🙇🏿‍♂	buig, donker velkleur, gebaar, guns, jammer, man, man buig: donker velkleur, verskoning
🙇‍♀	apologie, buig, gebaar, guns, jammer, meditasie, mediteer, verskoning, vrou, vrou buig
🙇🏻‍♀	apologie, buig, gebaar, guns, jammer, ligte velkleur, meditasie, mediteer, verskoning, vrou, vrou buig: ligte velkleur
🙇🏼‍♀	apologie, buig, gebaar, guns, jammer, meditasie, mediteer, medium-ligte velkleur, verskoning, vrou, vrou buig: medium-ligte velkleur
🙇🏽‍♀	apologie, buig, gebaar, guns, jammer, meditasie, mediteer, medium velkleur, verskoning, vrou, vrou buig: medium velkleur
🙇🏾‍♀	apologie, buig, gebaar, guns, jammer, meditasie, mediteer, medium-donker velkleur, verskoning, vrou, vrou buig: medium-donker velkleur
🙇🏿‍♀	apologie, buig, donker velkleur, gebaar, guns, jammer, meditasie, mediteer, verskoning, vrou, vrou buig: donker velkleur
🤦	facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦🏻	facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, hand teen voorkop slaan: ligte velkleur, ligte velkleur, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦🏼	facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, hand teen voorkop slaan: medium-ligte velkleur, medium-ligte velkleur, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦🏽	facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, hand teen voorkop slaan: medium velkleur, medium velkleur, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦🏾	facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, hand teen voorkop slaan: medium-donker velkleur, medium-donker velkleur, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦🏿	donker velkleur, facepalm, genugtig, gesig, geskok, gsig, hand teen voorkop slaan, hand teen voorkop slaan: donker velkleur, moedeloos, nie weer nie, ongeloof, palm, verbyster
🤦‍♂	al weer, gesig, hand teen voorkop, hand teen voorkop slaan, man, man slaan hand teen voorkop, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦🏻‍♂	al weer, gesig, hand teen voorkop, hand teen voorkop slaan, ligte velkleur, man, man slaan hand teen voorkop, man slaan hand teen voorkop: ligte velkleur, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦🏼‍♂	al weer, gesig, hand teen voorkop, hand teen voorkop slaan, man, man slaan hand teen voorkop, man slaan hand teen voorkop: medium-ligte velkleur, medium-ligte velkleur, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦🏽‍♂	al weer, gesig, hand teen voorkop, hand teen voorkop slaan, man, man slaan hand teen voorkop, man slaan hand teen voorkop: medium velkleur, medium velkleur, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦🏾‍♂	al weer, gesig, hand teen voorkop, hand teen voorkop slaan, man, man slaan hand teen voorkop, man slaan hand teen voorkop: medium-donker velkleur, medium-donker velkleur, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦🏿‍♂	al weer, donker velkleur, gesig, hand teen voorkop, hand teen voorkop slaan, man, man slaan hand teen voorkop, man slaan hand teen voorkop: donker velkleur, moedeloos, nie al weer nie, ongeloof, palm, sjoe, skok, teleurgesteld, teleurstelling, verbyster, verbystering
🤦‍♀	gesig, hand teen voorkop slaan, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop
🤦🏻‍♀	gesig, hand teen voorkop slaan, ligte velkleur, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop, vrou slaan hand teen voorkop: ligte velkleur
🤦🏼‍♀	gesig, hand teen voorkop slaan, medium-ligte velkleur, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop, vrou slaan hand teen voorkop: medium-ligte velkleur
🤦🏽‍♀	gesig, hand teen voorkop slaan, medium velkleur, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop, vrou slaan hand teen voorkop: medium velkleur
🤦🏾‍♀	gesig, hand teen voorkop slaan, medium-donker velkleur, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop, vrou slaan hand teen voorkop: medium-donker velkleur
🤦🏿‍♀	donker velkleur, gesig, hand teen voorkop slaan, moedeloos, nie weer nie, ongeloof, ontnugter, palm, verbyster, verbystering, vrou, vrou slaan hand teen voorkop, vrou slaan hand teen voorkop: donker velkleur
🤷	miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷🏻	ligte velkleur, miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal: ligte velkleur, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷🏼	medium-ligte velkleur, miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal: medium-ligte velkleur, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷🏽	medium velkleur, miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal: medium velkleur, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷🏾	medium-donker velkleur, miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal: medium-donker velkleur, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷🏿	donker velkleur, miskien, ongeërg, onkunde, onseker, persoon, persoon skouerophaal: donker velkleur, skat so, skouerophaal, skouers, wat ook al, weet nie, wie weet
🤷‍♂	Ek weet nie, man, man haal skouers op, man skouerophaal, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷🏻‍♂	Ek weet nie, ligte velkleur, man, man haal skouers op, man skouerophaal, man skouerophaal: ligte velkleur, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷🏼‍♂	Ek weet nie, man, man haal skouers op, man skouerophaal, man skouerophaal: medium-ligte velkleur, medium-ligte velkleur, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷🏽‍♂	Ek weet nie, man, man haal skouers op, man skouerophaal, man skouerophaal: medium velkleur, medium velkleur, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷🏾‍♂	Ek weet nie, man, man haal skouers op, man skouerophaal, man skouerophaal: medium-donker velkleur, medium-donker velkleur, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷🏿‍♂	Ek weet nie, donker velkleur, man, man haal skouers op, man skouerophaal, man skouerophaal: donker velkleur, onkunde, onseker, onverskillig, skouers, twyfel, wat ook al, weet nie, wie weet
🤷‍♀	Ek skat so, Ek weet nie, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, wat ook al, weet nie, wie weet
🤷🏻‍♀	Ek skat so, Ek weet nie, ligte velkleur, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, vrou skouerophaal: ligte velkleur, wat ook al, weet nie, wie weet
🤷🏼‍♀	Ek skat so, Ek weet nie, medium-ligte velkleur, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, vrou skouerophaal: medium-ligte velkleur, wat ook al, weet nie, wie weet
🤷🏽‍♀	Ek skat so, Ek weet nie, medium velkleur, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, vrou skouerophaal: medium velkleur, wat ook al, weet nie, wie weet
🤷🏾‍♀	Ek skat so, Ek weet nie, medium-donker velkleur, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, vrou skouerophaal: medium-donker velkleur, wat ook al, weet nie, wie weet
🤷🏿‍♀	Ek skat so, Ek weet nie, donker velkleur, miskien, onkunde, onseker, onverskilligheid, skouers, twyfel, vrou, vrou haal skouers op, vrou skouerophaal, vrou skouerophaal: donker velkleur, wat ook al, weet nie, wie weet
🧑‍⚕	dokter, gesondheidsorg, gesondheidswerker, terapeut, verpleegster, verpleër
🧑🏻‍⚕	dokter, gesondheidsorg, gesondheidswerker, gesondheidswerker: ligte velkleur, ligte velkleur, terapeut, verpleegster, verpleër
🧑🏼‍⚕	dokter, gesondheidsorg, gesondheidswerker, gesondheidswerker: medium-ligte velkleur, medium-ligte velkleur, terapeut, verpleegster, verpleër
🧑🏽‍⚕	dokter, gesondheidsorg, gesondheidswerker, gesondheidswerker: medium velkleur, medium velkleur, terapeut, verpleegster, verpleër
🧑🏾‍⚕	dokter, gesondheidsorg, gesondheidswerker, gesondheidswerker: medium-donker velkleur, medium-donker velkleur, terapeut, verpleegster, verpleër
🧑🏿‍⚕	dokter, donker velkleur, gesondheidsorg, gesondheidswerker, gesondheidswerker: donker velkleur, terapeut, verpleegster, verpleër
👨‍⚕	dokter, gesondheidsorg, man, manlike gesondheidswerker, medies, mediese sorg, mediese werker, terapeut, verpleër
👨🏻‍⚕	dokter, gesondheidsorg, ligte velkleur, man, manlike gesondheidswerker, manlike gesondheidswerker: ligte velkleur, medies, mediese sorg, mediese werker, terapeut, verpleër
👨🏼‍⚕	dokter, gesondheidsorg, man, manlike gesondheidswerker, manlike gesondheidswerker: medium-ligte velkleur, medies, mediese sorg, mediese werker, medium-ligte velkleur, terapeut, verpleër
👨🏽‍⚕	dokter, gesondheidsorg, man, manlike gesondheidswerker, manlike gesondheidswerker: medium velkleur, medies, mediese sorg, mediese werker, medium velkleur, terapeut, verpleër
👨🏾‍⚕	dokter, gesondheidsorg, man, manlike gesondheidswerker, manlike gesondheidswerker: medium-donker velkleur, medies, mediese sorg, mediese werker, medium-donker velkleur, terapeut, verpleër
👨🏿‍⚕	dokter, donker velkleur, gesondheidsorg, man, manlike gesondheidswerker, manlike gesondheidswerker: donker velkleur, medies, mediese sorg, mediese werker, terapeut, verpleër
👩‍⚕	dokter, gesondheidsorg, medies, mediese sorg, mediese werker, terapeut, verpleegster, vrou, vroulike gesondheidswerker
👩🏻‍⚕	dokter, gesondheidsorg, ligte velkleur, medies, mediese sorg, mediese werker, terapeut, verpleegster, vrou, vroulike gesondheidswerker, vroulike gesondheidswerker: ligte velkleur
👩🏼‍⚕	dokter, gesondheidsorg, medies, mediese sorg, mediese werker, medium-ligte velkleur, terapeut, verpleegster, vrou, vroulike gesondheidswerker, vroulike gesondheidswerker: medium-ligte velkleur
👩🏽‍⚕	dokter, gesondheidsorg, medies, mediese sorg, mediese werker, medium velkleur, terapeut, verpleegster, vrou, vroulike gesondheidswerker, vroulike gesondheidswerker: medium velkleur
👩🏾‍⚕	dokter, gesondheidsorg, medies, mediese sorg, mediese werker, medium-donker velkleur, terapeut, verpleegster, vrou, vroulike gesondheidswerker, vroulike gesondheidswerker: medium-donker velkleur
👩🏿‍⚕	dokter, donker velkleur, gesondheidsorg, medies, mediese sorg, mediese werker, terapeut, verpleegster, vrou, vroulike gesondheidswerker, vroulike gesondheidswerker: donker velkleur
🧑‍🎓	graad, gradeplegtigheid, gradueer, student
🧑🏻‍🎓	graad, gradeplegtigheid, gradueer, ligte velkleur, student, student: ligte velkleur
🧑🏼‍🎓	graad, gradeplegtigheid, gradueer, medium-ligte velkleur, student, student: medium-ligte velkleur
🧑🏽‍🎓	graad, gradeplegtigheid, gradueer, medium velkleur, student, student: medium velkleur
🧑🏾‍🎓	graad, gradeplegtigheid, gradueer, medium-donker velkleur, student, student: medium-donker velkleur
🧑🏿‍🎓	donker velkleur, graad, gradeplegtigheid, gradueer, student, student: donker velkleur
👨‍🎓	gegradueerde, graad, gradeplegtigheid, man, manlike student, persoon, student, toga
👨🏻‍🎓	gegradueerde, graad, gradeplegtigheid, ligte velkleur, man, manlike student, manlike student: ligte velkleur, persoon, student, toga
