‾	föléhúzás, fölülhúzás, fölülvonás
👨🏽‍❤‍👨🏼	csók, férfi, közepes bőrtónus, közepesen világos bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepes bőrtónus és közepesen világos bőrtónus, romantika, szerelem, szív, évforduló
👨🏽‍❤‍👨🏽	csók, férfi, közepes bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi és közepes bőrtónus, romantika, szerelem, szív, évforduló
👨🏽‍❤‍👨🏾	csók, férfi, közepes bőrtónus, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepes bőrtónus és közepesen sötét bőrtónus, romantika, szerelem, szív, évforduló
👨🏽‍❤‍👨🏿	csók, férfi, közepes bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepes bőrtónus és sötét bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨🏾‍❤‍👨🏻	csók, férfi, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepesen sötét bőrtónus és világos bőrtónus, romantika, szerelem, szív, világos bőrtónus, évforduló
👨🏾‍❤‍👨🏼	csók, férfi, közepesen sötét bőrtónus, közepesen világos bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepesen sötét bőrtónus és közepesen világos bőrtónus, romantika, szerelem, szív, évforduló
👨🏾‍❤‍👨🏽	csók, férfi, közepes bőrtónus, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepesen sötét bőrtónus és közepes bőrtónus, romantika, szerelem, szív, évforduló
👨🏾‍❤‍👨🏾	csók, férfi, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi és közepesen sötét bőrtónus, romantika, szerelem, szív, évforduló
👨🏾‍❤‍👨🏿	csók, férfi, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, közepesen sötét bőrtónus és sötét bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨🏿‍❤‍👨🏻	csók, férfi, pár, pár szívvel, pár szívvel: férfi, férfi, sötét bőrtónus és világos bőrtónus, romantika, szerelem, szív, sötét bőrtónus, világos bőrtónus, évforduló
👨🏿‍❤‍👨🏼	csók, férfi, közepesen világos bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, sötét bőrtónus és közepesen világos bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨🏿‍❤‍👨🏽	csók, férfi, közepes bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, sötét bőrtónus és közepes bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨🏿‍❤‍👨🏾	csók, férfi, közepesen sötét bőrtónus, pár, pár szívvel, pár szívvel: férfi, férfi, sötét bőrtónus és közepesen sötét bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨🏿‍❤‍👨🏿	csók, férfi, pár, pár szívvel, pár szívvel: férfi, férfi és sötét bőrtónus, romantika, szerelem, szív, sötét bőrtónus, évforduló
👨‍🦰	barát, báty, fiú, férfi, férfi: vörös haj, férj, haver, testvér, társ, vörös haj, öcs
👨🏻‍🦰	barát, báty, fiú, férfi, férfi: világos bőrtónus és vörös haj, férj, haver, testvér, társ, világos bőrtónus, vörös haj, öcs
👨🏼‍🦰	barát, báty, fiú, férfi, férfi: közepesen világos bőrtónus és vörös haj, férj, haver, közepesen világos bőrtónus, testvér, társ, vörös haj, öcs
👨🏽‍🦰	barát, báty, fiú, férfi, férfi: közepes bőrtónus és vörös haj, férj, haver, közepes bőrtónus, testvér, társ, vörös haj, öcs
👨🏾‍🦰	barát, báty, fiú, férfi, férfi: közepesen sötét bőrtónus és vörös haj, férj, haver, közepesen sötét bőrtónus, testvér, társ, vörös haj, öcs
👨🏿‍🦰	barát, báty, fiú, férfi, férfi: sötét bőrtónus és vörös haj, férj, haver, sötét bőrtónus, testvér, társ, vörös haj, öcs
👨‍🦱	barát, báty, fiú, férfi, férfi: göndör haj, férj, göndör haj, haver, testvér, társ, öcs
👨🏻‍🦱	barát, báty, fiú, férfi, férfi: világos bőrtónus és göndör haj, férj, göndör haj, haver, testvér, társ, világos bőrtónus, öcs
👨🏼‍🦱	barát, báty, fiú, férfi, férfi: közepesen világos bőrtónus és göndör haj, férj, göndör haj, haver, közepesen világos bőrtónus, testvér, társ, öcs
👨🏽‍🦱	barát, báty, fiú, férfi, férfi: közepes bőrtónus és göndör haj, férj, göndör haj, haver, közepes bőrtónus, testvér, társ, öcs
👨🏾‍🦱	barát, báty, fiú, férfi, férfi: közepesen sötét bőrtónus és göndör haj, férj, göndör haj, haver, közepesen sötét bőrtónus, testvér, társ, öcs
👨🏿‍🦱	barát, báty, fiú, férfi, férfi: sötét bőrtónus és göndör haj, férj, göndör haj, haver, sötét bőrtónus, testvér, társ, öcs
👨‍🦳	barát, báty, fiú, férfi, férfi: ősz haj, férj, haver, testvér, társ, öcs, ősz haj
👨🏻‍🦳	barát, báty, fiú, férfi, férfi: világos bőrtónus és ősz haj, férj, haver, testvér, társ, világos bőrtónus, öcs, ősz haj
👨🏼‍🦳	barát, báty, fiú, férfi, férfi: közepesen világos bőrtónus és ősz haj, férj, haver, közepesen világos bőrtónus, testvér, társ, öcs, ősz haj
👨🏽‍🦳	barát, báty, fiú, férfi, férfi: közepes bőrtónus és ősz haj, férj, haver, közepes bőrtónus, testvér, társ, öcs, ősz haj
👨🏾‍🦳	barát, báty, fiú, férfi, férfi: közepesen sötét bőrtónus és ősz haj, férj, haver, közepesen sötét bőrtónus, testvér, társ, öcs, ősz haj
👨🏿‍🦳	barát, báty, fiú, férfi, férfi: sötét bőrtónus és ősz haj, férj, haver, sötét bőrtónus, testvér, társ, öcs, ősz haj
👨‍🦲	barát, báty, fiú, férfi, férfi: kopasz, férj, haver, kopasz, testvér, társ, öcs
👨🏻‍🦲	barát, báty, fiú, férfi, férfi: világos bőrtónus és kopasz, férj, haver, kopasz, testvér, társ, világos bőrtónus, öcs
👨🏼‍🦲	barát, báty, fiú, férfi, férfi: közepesen világos bőrtónus és kopasz, férj, haver, kopasz, közepesen világos bőrtónus, testvér, társ, öcs
👨🏽‍🦲	barát, báty, fiú, férfi, férfi: közepes bőrtónus és kopasz, férj, haver, kopasz, közepes bőrtónus, testvér, társ, öcs
👨🏾‍🦲	barát, báty, fiú, férfi, férfi: közepesen sötét bőrtónus és kopasz, férj, haver, kopasz, közepesen sötét bőrtónus, testvér, társ, öcs
👨🏿‍🦲	barát, báty, fiú, férfi, férfi: sötét bőrtónus és kopasz, férj, haver, kopasz, sötét bőrtónus, testvér, társ, öcs
👩	hölgy, nő, szőke
👩🏻	hölgy, nő, nő: világos bőrtónus, szőke, világos bőrtónus
👩🏼	hölgy, közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus, szőke
👩🏽	hölgy, közepes bőrtónus, nő, nő: közepes bőrtónus, szőke
👩🏾	hölgy, közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus, szőke
👩🏿	hölgy, nő, nő: sötét bőrtónus, szőke, sötét bőrtónus
🧔‍♀	nő, nő: szakáll, szakáll
🧔🏻‍♀	nő, nő: szakáll, nő: világos bőrtónus és szakáll, szakáll, világos bőrtónus
🧔🏼‍♀	közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus és szakáll, nő: szakáll, szakáll
🧔🏽‍♀	közepes bőrtónus, nő, nő: közepes bőrtónus és szakáll, nő: szakáll, szakáll
🧔🏾‍♀	közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus és szakáll, nő: szakáll, szakáll
🧔🏿‍♀	nő, nő: szakáll, nő: sötét bőrtónus és szakáll, szakáll, sötét bőrtónus
👱‍♀	nő, szőke, szőke nő
👱🏻‍♀	nő, szőke, szőke nő: világos bőrtónus, világos bőrtónus
👱🏼‍♀	közepesen világos bőrtónus, nő, szőke, szőke nő: közepesen világos bőrtónus
👱🏽‍♀	közepes bőrtónus, nő, szőke, szőke nő: közepes bőrtónus
👱🏾‍♀	közepesen sötét bőrtónus, nő, szőke, szőke nő: közepesen sötét bőrtónus
👱🏿‍♀	nő, szőke, szőke nő: sötét bőrtónus, sötét bőrtónus
👩🏻‍❤‍💋‍👨🏻	barát, barátnő, csók, csók: nő, férfi és világos bőrtónus, férfi, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👨🏼	barát, barátnő, csók, csók: nő, férfi, világos bőrtónus és közepesen világos bőrtónus, férfi, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👨🏽	barát, barátnő, csók, csók: nő, férfi, világos bőrtónus és közepes bőrtónus, férfi, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👨🏾	barát, barátnő, csók, csók: nő, férfi, világos bőrtónus és közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👨🏿	barát, barátnő, csók, csók: nő, férfi, világos bőrtónus és sötét bőrtónus, férfi, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, világos bőrtónus, évforduló
👩🏼‍❤‍💋‍👨🏻	barát, barátnő, csók, csók: nő, férfi, közepesen világos bőrtónus és világos bőrtónus, férfi, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏼‍❤‍💋‍👨🏼	barát, barátnő, csók, csók: nő, férfi és közepesen világos bőrtónus, férfi, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏼‍❤‍💋‍👨🏽	barát, barátnő, csók, csók: nő, férfi, közepesen világos bőrtónus és közepes bőrtónus, férfi, közepes bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏼‍❤‍💋‍👨🏾	barát, barátnő, csók, csók: nő, férfi, közepesen világos bőrtónus és közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏼‍❤‍💋‍👨🏿	barát, barátnő, csók, csók: nő, férfi, közepesen világos bőrtónus és sötét bőrtónus, férfi, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏽‍❤‍💋‍👨🏻	barát, barátnő, csók, csók: nő, férfi, közepes bőrtónus és világos bőrtónus, férfi, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏽‍❤‍💋‍👨🏼	barát, barátnő, csók, csók: nő, férfi, közepes bőrtónus és közepesen világos bőrtónus, férfi, közepes bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏽‍❤‍💋‍👨🏽	barát, barátnő, csók, csók: nő, férfi és közepes bőrtónus, férfi, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏽‍❤‍💋‍👨🏾	barát, barátnő, csók, csók: nő, férfi, közepes bőrtónus és közepesen sötét bőrtónus, férfi, közepes bőrtónus, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏽‍❤‍💋‍👨🏿	barát, barátnő, csók, csók: nő, férfi, közepes bőrtónus és sötét bőrtónus, férfi, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏾‍❤‍💋‍👨🏻	barát, barátnő, csók, csók: nő, férfi, közepesen sötét bőrtónus és világos bőrtónus, férfi, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏾‍❤‍💋‍👨🏼	barát, barátnő, csók, csók: nő, férfi, közepesen sötét bőrtónus és közepesen világos bőrtónus, férfi, közepesen sötét bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏾‍❤‍💋‍👨🏽	barát, barátnő, csók, csók: nő, férfi, közepesen sötét bőrtónus és közepes bőrtónus, férfi, közepes bőrtónus, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏾‍❤‍💋‍👨🏾	barát, barátnő, csók, csók: nő, férfi és közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏾‍❤‍💋‍👨🏿	barát, barátnő, csók, csók: nő, férfi, közepesen sötét bőrtónus és sötét bőrtónus, férfi, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏿‍❤‍💋‍👨🏻	barát, barátnő, csók, csók: nő, férfi, sötét bőrtónus és világos bőrtónus, férfi, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, világos bőrtónus, évforduló
👩🏿‍❤‍💋‍👨🏼	barát, barátnő, csók, csók: nő, férfi, sötét bőrtónus és közepesen világos bőrtónus, férfi, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏿‍❤‍💋‍👨🏽	barát, barátnő, csók, csók: nő, férfi, sötét bőrtónus és közepes bőrtónus, férfi, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏿‍❤‍💋‍👨🏾	barát, barátnő, csók, csók: nő, férfi, sötét bőrtónus és közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏿‍❤‍💋‍👨🏿	barát, barátnő, csók, csók: nő, férfi és sötét bőrtónus, férfi, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, évforduló
👩🏻‍❤‍💋‍👩🏻	barát, barátnő, csók, csók: nő, nő és világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👩🏼	barát, barátnő, csók, csók: nő, nő, világos bőrtónus és közepesen világos bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👩🏽	barát, barátnő, csók, csók: nő, nő, világos bőrtónus és közepes bőrtónus, közepes bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👩🏾	barát, barátnő, csók, csók: nő, nő, világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏻‍❤‍💋‍👩🏿	barát, barátnő, csók, csók: nő, nő, világos bőrtónus és sötét bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, sötét bőrtónus, világos bőrtónus, évforduló
👩🏼‍❤‍💋‍👩🏻	barát, barátnő, csók, csók: nő, nő, közepesen világos bőrtónus és világos bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, világos bőrtónus, évforduló
👩🏼‍❤‍💋‍👩🏼	barát, barátnő, csók, csók: nő, nő és közepesen világos bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏼‍❤‍💋‍👩🏽	barát, barátnő, csók, csók: nő, nő, közepesen világos bőrtónus és közepes bőrtónus, közepes bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
👩🏼‍❤‍💋‍👩🏾	barát, barátnő, csók, csók: nő, nő, közepesen világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, közepesen világos bőrtónus, nő, pár, randevú, randi, romantika, szerelem, szív, évforduló
