‾	nadcrta
🙆🏿‍♀	gestikulacija, tamno smeđa boja kože, u redu, žena pokazuje "u redu", žena pokazuje "u redu": tamno smeđa boja kože
💁	informacije, osoba, osoba s nagnutim dlanom, ozbiljno, pomoć, ruka, sarkastično, sarkazam, trač, zabacivanje kose
💁🏻	informacije, osoba, osoba s nagnutim dlanom, osoba s nagnutim dlanom: svijetla boja kože, ozbiljno, pomoć, ruka, sarkastično, sarkazam, svijetla boja kože, trač, zabacivanje kose
💁🏼	informacije, osoba, osoba s nagnutim dlanom, osoba s nagnutim dlanom: svijetlo maslinasta boja kože, ozbiljno, pomoć, ruka, sarkastično, sarkazam, svijetlo maslinasta boja kože, trač, zabacivanje kose
💁🏽	informacije, maslinasta boja kože, osoba, osoba s nagnutim dlanom, osoba s nagnutim dlanom: maslinasta boja kože, ozbiljno, pomoć, ruka, sarkastično, sarkazam, trač, zabacivanje kose
💁🏾	informacije, osoba, osoba s nagnutim dlanom, osoba s nagnutim dlanom: smeđa boja kože, ozbiljno, pomoć, ruka, sarkastično, sarkazam, smeđa boja kože, trač, zabacivanje kose
💁🏿	informacije, osoba, osoba s nagnutim dlanom, osoba s nagnutim dlanom: tamno smeđa boja kože, ozbiljno, pomoć, ruka, sarkastično, sarkazam, tamno smeđa boja kože, trač, zabacivanje kose
💁‍♂	drskost, muškarac, muškarac s nagnutim dlanom, osoba, otvorena ruka
💁🏻‍♂	drskost, muškarac, muškarac s nagnutim dlanom, muškarac s nagnutim dlanom: svijetla boja kože, osoba, otvorena ruka, svijetla boja kože
💁🏼‍♂	drskost, muškarac, muškarac s nagnutim dlanom, muškarac s nagnutim dlanom: svijetlo maslinasta boja kože, osoba, otvorena ruka, svijetlo maslinasta boja kože
💁🏽‍♂	drskost, maslinasta boja kože, muškarac, muškarac s nagnutim dlanom, muškarac s nagnutim dlanom: maslinasta boja kože, osoba, otvorena ruka
💁🏾‍♂	drskost, muškarac, muškarac s nagnutim dlanom, muškarac s nagnutim dlanom: smeđa boja kože, osoba, otvorena ruka, smeđa boja kože
💁🏿‍♂	drskost, muškarac, muškarac s nagnutim dlanom, muškarac s nagnutim dlanom: tamno smeđa boja kože, osoba, otvorena ruka, tamno smeđa boja kože
💁‍♀	drskost, otvorena ruka, žena s nagnutim dlanom
💁🏻‍♀	drskost, otvorena ruka, svijetla boja kože, žena s nagnutim dlanom, žena s nagnutim dlanom: svijetla boja kože
💁🏼‍♀	drskost, otvorena ruka, svijetlo maslinasta boja kože, žena s nagnutim dlanom, žena s nagnutim dlanom: svijetlo maslinasta boja kože
💁🏽‍♀	drskost, maslinasta boja kože, otvorena ruka, žena s nagnutim dlanom, žena s nagnutim dlanom: maslinasta boja kože
💁🏾‍♀	drskost, otvorena ruka, smeđa boja kože, žena s nagnutim dlanom, žena s nagnutim dlanom: smeđa boja kože
💁🏿‍♀	drskost, otvorena ruka, tamno smeđa boja kože, žena s nagnutim dlanom, žena s nagnutim dlanom: tamno smeđa boja kože
🙋	ja mogu pomoći, ja znam, kretnja, odaberi me, osoba, osoba s podignutom rukom, pitanje, podići, ruka, sreća, žena s podignutom rukom
🙋🏻	ja mogu pomoći, ja znam, kretnja, odaberi me, osoba, osoba s podignutom rukom, osoba s podignutom rukom: svijetla boja kože, pitanje, podići, ruka, sreća, svijetla boja kože, žena s podignutom rukom
🙋🏼	ja mogu pomoći, ja znam, kretnja, odaberi me, osoba, osoba s podignutom rukom, osoba s podignutom rukom: svijetlo maslinasta boja kože, pitanje, podići, ruka, sreća, svijetlo maslinasta boja kože, žena s podignutom rukom
🙋🏽	ja mogu pomoći, ja znam, kretnja, maslinasta boja kože, odaberi me, osoba, osoba s podignutom rukom, osoba s podignutom rukom: maslinasta boja kože, pitanje, podići, ruka, sreća, žena s podignutom rukom
🙋🏾	ja mogu pomoći, ja znam, kretnja, odaberi me, osoba, osoba s podignutom rukom, osoba s podignutom rukom: smeđa boja kože, pitanje, podići, ruka, smeđa boja kože, sreća, žena s podignutom rukom
🙋🏿	ja mogu pomoći, ja znam, kretnja, odaberi me, osoba, osoba s podignutom rukom, osoba s podignutom rukom: tamno smeđa boja kože, pitanje, podići, ruka, sreća, tamno smeđa boja kože, žena s podignutom rukom
🙋‍♂	gestikulacija, ja, muškarac podiže ruku, osoba, osoba s podignutom rukom, pitanje, podignuta ruka
🙋🏻‍♂	gestikulacija, ja, muškarac podiže ruku, muškarac podiže ruku: svijetla boja kože, osoba, osoba s podignutom rukom, pitanje, podignuta ruka, svijetla boja kože
🙋🏼‍♂	gestikulacija, ja, muškarac podiže ruku, muškarac podiže ruku: svijetlo maslinasta boja kože, osoba, osoba s podignutom rukom, pitanje, podignuta ruka, svijetlo maslinasta boja kože
🙋🏽‍♂	gestikulacija, ja, maslinasta boja kože, muškarac podiže ruku, muškarac podiže ruku: maslinasta boja kože, osoba, osoba s podignutom rukom, pitanje, podignuta ruka
🙋🏾‍♂	gestikulacija, ja, muškarac podiže ruku, muškarac podiže ruku: smeđa boja kože, osoba, osoba s podignutom rukom, pitanje, podignuta ruka, smeđa boja kože
🙋🏿‍♂	gestikulacija, ja, muškarac podiže ruku, muškarac podiže ruku: tamno smeđa boja kože, osoba, osoba s podignutom rukom, pitanje, podignuta ruka, tamno smeđa boja kože
🙋‍♀	gestikulacija, podignuta ruka, žena podiže ruku
🙋🏻‍♀	gestikulacija, podignuta ruka, svijetla boja kože, žena podiže ruku, žena podiže ruku: svijetla boja kože
🙋🏼‍♀	gestikulacija, podignuta ruka, svijetlo maslinasta boja kože, žena podiže ruku, žena podiže ruku: svijetlo maslinasta boja kože
🙋🏽‍♀	gestikulacija, maslinasta boja kože, podignuta ruka, žena podiže ruku, žena podiže ruku: maslinasta boja kože
🙋🏾‍♀	gestikulacija, podignuta ruka, smeđa boja kože, žena podiže ruku, žena podiže ruku: smeđa boja kože
🙋🏿‍♀	gestikulacija, podignuta ruka, tamno smeđa boja kože, žena podiže ruku, žena podiže ruku: tamno smeđa boja kože
🧏	gluha osoba, gluhoća, pomagalo, sluh, uho
🧏🏻	gluha osoba, gluha osoba: svijetla boja kože, gluhoća, pomagalo, sluh, svijetla boja kože, uho
🧏🏼	gluha osoba, gluha osoba: svijetlo maslinasta boja kože, gluhoća, pomagalo, sluh, svijetlo maslinasta boja kože, uho
🧏🏽	gluha osoba, gluha osoba: maslinasta boja kože, gluhoća, maslinasta boja kože, pomagalo, sluh, uho
🧏🏾	gluha osoba, gluha osoba: smeđa boja kože, gluhoća, pomagalo, sluh, smeđa boja kože, uho
🧏🏿	gluha osoba, gluha osoba: tamno smeđa boja kože, gluhoća, pomagalo, sluh, tamno smeđa boja kože, uho
🧏‍♂	gluh, gluhi muškarac, muškarac
🧏🏻‍♂	gluh, gluhi muškarac, gluhi muškarac: svijetla boja kože, muškarac, svijetla boja kože
🧏🏼‍♂	gluh, gluhi muškarac, gluhi muškarac: svijetlo maslinasta boja kože, muškarac, svijetlo maslinasta boja kože
🧏🏽‍♂	gluh, gluhi muškarac, gluhi muškarac: maslinasta boja kože, maslinasta boja kože, muškarac
🧏🏾‍♂	gluh, gluhi muškarac, gluhi muškarac: smeđa boja kože, muškarac, smeđa boja kože
🧏🏿‍♂	gluh, gluhi muškarac, gluhi muškarac: tamno smeđa boja kože, muškarac, tamno smeđa boja kože
🧏‍♀	gluha, gluha žena, žena
🧏🏻‍♀	gluha, gluha žena: svijetla boja kože, svijetla boja kože, žena
🧏🏼‍♀	gluha, gluha žena: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, žena
🧏🏽‍♀	gluha, gluha žena: maslinasta boja kože, maslinasta boja kože, žena
🧏🏾‍♀	gluha, gluha žena: smeđa boja kože, smeđa boja kože, žena
🧏🏿‍♀	gluha, gluha žena: tamno smeđa boja kože, tamno smeđa boja kože, žena
🙇	ispričavanje, klanjanje, kretnja, meditacija, naklon, oprost, osoba, osoba koja se klanja, žaljenje, žao mi je
🙇🏻	ispričavanje, klanjanje, kretnja, meditacija, naklon, oprost, osoba, osoba koja se klanja, osoba koja se klanja: svijetla boja kože, svijetla boja kože, žaljenje, žao mi je
🙇🏼	ispričavanje, klanjanje, kretnja, meditacija, naklon, oprost, osoba, osoba koja se klanja, osoba koja se klanja: svijetlo maslinasta boja kože, svijetlo maslinasta boja kože, žaljenje, žao mi je
🙇🏽	ispričavanje, klanjanje, kretnja, maslinasta boja kože, meditacija, naklon, oprost, osoba, osoba koja se klanja, osoba koja se klanja: maslinasta boja kože, žaljenje, žao mi je
🙇🏾	ispričavanje, klanjanje, kretnja, meditacija, naklon, oprost, osoba, osoba koja se klanja, osoba koja se klanja: smeđa boja kože, smeđa boja kože, žaljenje, žao mi je
🙇🏿	ispričavanje, klanjanje, kretnja, meditacija, naklon, oprost, osoba, osoba koja se klanja, osoba koja se klanja: tamno smeđa boja kože, tamno smeđa boja kože, žaljenje, žao mi je
🙇‍♂	isprika, ispričavanje, muškarac u dubokom naklonu, naklon, usluga
🙇🏻‍♂	isprika, ispričavanje, muškarac u dubokom naklonu, muškarac u dubokom naklonu: svijetla boja kože, naklon, svijetla boja kože, usluga
🙇🏼‍♂	isprika, ispričavanje, muškarac u dubokom naklonu, muškarac u dubokom naklonu: svijetlo maslinasta boja kože, naklon, svijetlo maslinasta boja kože, usluga
🙇🏽‍♂	isprika, ispričavanje, maslinasta boja kože, muškarac u dubokom naklonu, muškarac u dubokom naklonu: maslinasta boja kože, naklon, usluga
🙇🏾‍♂	isprika, ispričavanje, muškarac u dubokom naklonu, muškarac u dubokom naklonu: smeđa boja kože, naklon, smeđa boja kože, usluga
🙇🏿‍♂	isprika, ispričavanje, muškarac u dubokom naklonu, muškarac u dubokom naklonu: tamno smeđa boja kože, naklon, tamno smeđa boja kože, usluga
🙇‍♀	isprika, ispričavanje, meditacija, meditirati, naklon, usluga, žao mi je, žena, žena u dubokom naklonu
🙇🏻‍♀	isprika, ispričavanje, meditacija, meditirati, naklon, svijetla boja kože, usluga, žao mi je, žena, žena u dubokom naklonu: svijetla boja kože
🙇🏼‍♀	isprika, ispričavanje, meditacija, meditirati, naklon, svijetlo maslinasta boja kože, usluga, žao mi je, žena, žena u dubokom naklonu: svijetlo maslinasta boja kože
🙇🏽‍♀	isprika, ispričavanje, maslinasta boja kože, meditacija, meditirati, naklon, usluga, žao mi je, žena, žena u dubokom naklonu: maslinasta boja kože
🙇🏾‍♀	isprika, ispričavanje, meditacija, meditirati, naklon, smeđa boja kože, usluga, žao mi je, žena, žena u dubokom naklonu: smeđa boja kože
🙇🏿‍♀	isprika, ispričavanje, meditacija, meditirati, naklon, tamno smeđa boja kože, usluga, žao mi je, žena, žena u dubokom naklonu: tamno smeđa boja kože
🤦	dlan, lice, lupanje dlanom o čelo, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, šok
🤦🏻	dlan, lice, lupanje dlanom o čelo, lupanje dlanom o čelo: svijetla boja kože, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, svijetla boja kože, šok
🤦🏼	dlan, lice, lupanje dlanom o čelo, lupanje dlanom o čelo: svijetlo maslinasta boja kože, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, svijetlo maslinasta boja kože, šok
🤦🏽	dlan, lice, lupanje dlanom o čelo, lupanje dlanom o čelo: maslinasta boja kože, maslinasta boja kože, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, šok
🤦🏾	dlan, lice, lupanje dlanom o čelo, lupanje dlanom o čelo: smeđa boja kože, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, smeđa boja kože, šok
🤦🏿	dlan, lice, lupanje dlanom o čelo, lupanje dlanom o čelo: tamno smeđa boja kože, ne opet, nevjerica, osoba, osoba lupa dlanom o čelo, očaj, tamno smeđa boja kože, šok
🤦‍♂	dlan o čelo, muškarac, muškarac lupa dlanom o čelo, ne opet, nevjerica, očaj, šok
🤦🏻‍♂	dlan o čelo, muškarac, muškarac lupa dlanom o čelo, muškarac lupa dlanom o čelo: svijetla boja kože, ne opet, nevjerica, očaj, svijetla boja kože, šok
🤦🏼‍♂	dlan o čelo, muškarac, muškarac lupa dlanom o čelo, muškarac lupa dlanom o čelo: svijetlo maslinasta boja kože, ne opet, nevjerica, očaj, svijetlo maslinasta boja kože, šok
🤦🏽‍♂	dlan o čelo, maslinasta boja kože, muškarac, muškarac lupa dlanom o čelo, muškarac lupa dlanom o čelo: maslinasta boja kože, ne opet, nevjerica, očaj, šok
🤦🏾‍♂	dlan o čelo, muškarac, muškarac lupa dlanom o čelo, muškarac lupa dlanom o čelo: smeđa boja kože, ne opet, nevjerica, očaj, smeđa boja kože, šok
🤦🏿‍♂	dlan o čelo, muškarac, muškarac lupa dlanom o čelo, muškarac lupa dlanom o čelo: tamno smeđa boja kože, ne opet, nevjerica, očaj, tamno smeđa boja kože, šok
🤦‍♀	dlan o čelo, ne opet, nevjerica, osoba, očaj, šok, žena, žena lupa dlanom o čelo
🤦🏻‍♀	dlan o čelo, ne opet, nevjerica, osoba, očaj, svijetla boja kože, šok, žena, žena lupa dlanom o čelo, žena lupa dlanom o čelo: svijetla boja kože
🤦🏼‍♀	dlan o čelo, ne opet, nevjerica, osoba, očaj, svijetlo maslinasta boja kože, šok, žena, žena lupa dlanom o čelo, žena lupa dlanom o čelo: svijetlo maslinasta boja kože
🤦🏽‍♀	dlan o čelo, maslinasta boja kože, ne opet, nevjerica, osoba, očaj, šok, žena, žena lupa dlanom o čelo, žena lupa dlanom o čelo: maslinasta boja kože
🤦🏾‍♀	dlan o čelo, ne opet, nevjerica, osoba, očaj, smeđa boja kože, šok, žena, žena lupa dlanom o čelo, žena lupa dlanom o čelo: smeđa boja kože
🤦🏿‍♀	dlan o čelo, ne opet, nevjerica, osoba, očaj, tamno smeđa boja kože, šok, žena, žena lupa dlanom o čelo, žena lupa dlanom o čelo: tamno smeđa boja kože
🤷	možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, sumnja, valjda
🤷🏻	možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, slijeganje ramenima: svijetla boja kože, sumnja, svijetla boja kože, valjda
🤷🏼	možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, slijeganje ramenima: svijetlo maslinasta boja kože, sumnja, svijetlo maslinasta boja kože, valjda
🤷🏽	maslinasta boja kože, možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, slijeganje ramenima: maslinasta boja kože, sumnja, valjda
🤷🏾	možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, slijeganje ramenima: smeđa boja kože, smeđa boja kože, sumnja, valjda
🤷🏿	možda, ne znam, nesigurnost, nezainteresiranost, neznanje, osoba, slijeganje ramenima, slijeganje ramenima: tamno smeđa boja kože, sumnja, tamno smeđa boja kože, valjda
🤷‍♂	možda, muškarac, muškarac sliježe ramenima, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tko zna
🤷🏻‍♂	možda, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: svijetla boja kože, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, svijetla boja kože, tko zna
🤷🏼‍♂	možda, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: svijetlo maslinasta boja kože, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, svijetlo maslinasta boja kože, tko zna
🤷🏽‍♂	maslinasta boja kože, možda, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: maslinasta boja kože, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tko zna
🤷🏾‍♂	možda, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: smeđa boja kože, ne znam, nezainteresiranost, neznanje, osoba, smeđa boja kože, sumnja, svejedno, tko zna
🤷🏿‍♂	možda, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: tamno smeđa boja kože, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tamno smeđa boja kože, tko zna
🤷‍♀	možda, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tko zna, žena, žena sliježe ramenima
🤷🏻‍♀	možda, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, svijetla boja kože, tko zna, žena, žena sliježe ramenima, žena sliježe ramenima: svijetla boja kože
🤷🏼‍♀	možda, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, svijetlo maslinasta boja kože, tko zna, žena, žena sliježe ramenima, žena sliježe ramenima: svijetlo maslinasta boja kože
🤷🏽‍♀	maslinasta boja kože, možda, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tko zna, žena, žena sliježe ramenima, žena sliježe ramenima: maslinasta boja kože
🤷🏾‍♀	možda, ne znam, nezainteresiranost, neznanje, osoba, smeđa boja kože, sumnja, svejedno, tko zna, žena, žena sliježe ramenima, žena sliježe ramenima: smeđa boja kože
🤷🏿‍♀	možda, ne znam, nezainteresiranost, neznanje, osoba, sumnja, svejedno, tamno smeđa boja kože, tko zna, žena, žena sliježe ramenima, žena sliježe ramenima: tamno smeđa boja kože
🧑‍⚕	liječnik, medicinska sestra, terapeut, zdravstveni djelatnik, zdravstvo
🧑🏻‍⚕	liječnik, medicinska sestra, svijetla boja kože, terapeut, zdravstveni djelatnik, zdravstveni djelatnik: svijetla boja kože, zdravstvo
