‾	επάνω γραμμή
🫷🏾	αριστερά, αρνούμαι, κόλλα το, μεσαίος-σκούρος τόνος δέρματος, περιμένω, προς τα αριστερά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά, χέρι που σπρώχνει προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος
🫷🏿	αριστερά, αρνούμαι, κόλλα το, περιμένω, προς τα αριστερά, σκούρος τόνος δέρματος, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα αριστερά, χέρι που σπρώχνει προς τα αριστερά: σκούρος τόνος δέρματος
🫸	αρνούμαι, κόλλα το, περιμένω, προς τα δεξιά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά
🫸🏻	ανοιχτόχρωμος τόνος δέρματος, αρνούμαι, κόλλα το, περιμένω, προς τα δεξιά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά, χέρι που σπρώχνει προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος
🫸🏼	αρνούμαι, κόλλα το, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, περιμένω, προς τα δεξιά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά, χέρι που σπρώχνει προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🫸🏽	αρνούμαι, κόλλα το, μεσαίος τόνος δέρματος, περιμένω, προς τα δεξιά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά, χέρι που σπρώχνει προς τα δεξιά: μεσαίος τόνος δέρματος
🫸🏾	αρνούμαι, κόλλα το, μεσαίος-σκούρος τόνος δέρματος, περιμένω, προς τα δεξιά, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά, χέρι που σπρώχνει προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος
🫸🏿	αρνούμαι, κόλλα το, περιμένω, προς τα δεξιά, σκούρος τόνος δέρματος, σπρώχνω, σταματάω, χέρι που σπρώχνει προς τα δεξιά, χέρι που σπρώχνει προς τα δεξιά: σκούρος τόνος δέρματος
👌	OK, ΟΚ, εντάξει, κομπλέ, κουλ, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ
👌🏻	OK, ΟΚ, ανοιχτόχρωμος τόνος δέρματος, εντάξει, κομπλέ, κουλ, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ, χειρονομία οκ: ανοιχτόχρωμος τόνος δέρματος
👌🏼	OK, ΟΚ, εντάξει, κομπλέ, κουλ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👌🏽	OK, ΟΚ, εντάξει, κομπλέ, κουλ, μεσαίος τόνος δέρματος, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος τόνος δέρματος
👌🏾	OK, ΟΚ, εντάξει, κομπλέ, κουλ, μεσαίος-σκούρος τόνος δέρματος, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-σκούρος τόνος δέρματος
👌🏿	OK, ΟΚ, εντάξει, κομπλέ, κουλ, σκούρος τόνος δέρματος, σώμα, τέλεια, το ‘πιασα, το ‘χω, τσιμπάω, υπέροχα, χέρι, χειρονομία οκ, χειρονομία οκ: σκούρος τόνος δέρματος
🤌	αγανάκτηση, ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, κλειστά, σαρκαστικό, χειρονομία
🤌🏻	αγανάκτηση, ανάκριση, ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: ανοιχτόχρωμος τόνος δέρματος, κλειστά, σαρκαστικό, χειρονομία
🤌🏼	αγανάκτηση, ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κλειστά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σαρκαστικό, χειρονομία
🤌🏽	αγανάκτηση, ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος τόνος δέρματος, κλειστά, μεσαίος τόνος δέρματος, σαρκαστικό, χειρονομία
🤌🏾	αγανάκτηση, ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος-σκούρος τόνος δέρματος, κλειστά, μεσαίος-σκούρος τόνος δέρματος, σαρκαστικό, χειρονομία
🤌🏿	αγανάκτηση, ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: σκούρος τόνος δέρματος, κλειστά, σαρκαστικό, σκούρος τόνος δέρματος, χειρονομία
🤏	δάχτυλα, κοντό, μικρή ποσότητα, μικρό, περίπου, χέρι που τσιμπάει
🤏🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, κοντό, μικρή ποσότητα, μικρό, περίπου, χέρι που τσιμπάει, χέρι που τσιμπάει: ανοιχτόχρωμος τόνος δέρματος
🤏🏼	δάχτυλα, κοντό, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μικρή ποσότητα, μικρό, περίπου, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤏🏽	δάχτυλα, κοντό, μεσαίος τόνος δέρματος, μικρή ποσότητα, μικρό, περίπου, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος τόνος δέρματος
🤏🏾	δάχτυλα, κοντό, μεσαίος-σκούρος τόνος δέρματος, μικρή ποσότητα, μικρό, περίπου, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος-σκούρος τόνος δέρματος
🤏🏿	δάχτυλα, κοντό, μικρή ποσότητα, μικρό, περίπου, σκούρος τόνος δέρματος, χέρι που τσιμπάει, χέρι που τσιμπάει: σκούρος τόνος δέρματος
✌️	v, νίκη, σήμα της νίκης, σώμα, χέρι
✌🏻	v, ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏼	v, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏽	v, μεσαίος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος τόνος δέρματος, σώμα, χέρι
✌🏾	v, μεσαίος-σκούρος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
✌🏿	v, νίκη, σήμα της νίκης, σήμα της νίκης: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
🤞	δάχτυλα, καλή τύχη, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🤞🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, καλή τύχη, καλή τύχη: ανοιχτόχρωμος τόνος δέρματος, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🤞🏼	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🤞🏽	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🤞🏾	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🤞🏿	δάχτυλα, καλή τύχη, καλή τύχη: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σταυρωμένα δάχτυλα, σταυρώνω, τύχη, χέρι
🫰	αγάπη, ακριβό, δείκτης και αντίχειρας σταυρωμένοι, καρδιά, λεφτά, στη στιγμή
🫰🏻	αγάπη, ακριβό, ανοιχτόχρωμος τόνος δέρματος, δείκτης και αντίχειρας σταυρωμένοι, δείκτης και αντίχειρας σταυρωμένοι: ανοιχτόχρωμος τόνος δέρματος, καρδιά, λεφτά, στη στιγμή
🫰🏼	αγάπη, ακριβό, δείκτης και αντίχειρας σταυρωμένοι, δείκτης και αντίχειρας σταυρωμένοι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καρδιά, λεφτά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στη στιγμή
🫰🏽	αγάπη, ακριβό, δείκτης και αντίχειρας σταυρωμένοι, δείκτης και αντίχειρας σταυρωμένοι: μεσαίος τόνος δέρματος, καρδιά, λεφτά, μεσαίος τόνος δέρματος, στη στιγμή
🫰🏾	αγάπη, ακριβό, δείκτης και αντίχειρας σταυρωμένοι, δείκτης και αντίχειρας σταυρωμένοι: μεσαίος-σκούρος τόνος δέρματος, καρδιά, λεφτά, μεσαίος-σκούρος τόνος δέρματος, στη στιγμή
