‾	overline
🧑🏻‍❤‍🧑🏼	couple, katamtamang light na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, light na kulay ng balat, katamtamang light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍🧑🏽	couple, katamtamang kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, light na kulay ng balat, katamtamang kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍🧑🏾	couple, katamtamang dark na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, light na kulay ng balat, katamtamang dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏻‍❤‍🧑🏿	couple, dark na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, light na kulay ng balat, dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍🧑🏻	couple, katamtamang light na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang light na kulay ng balat, light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍🧑🏽	couple, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang light na kulay ng balat, katamtamang kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍🧑🏾	couple, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏼‍❤‍🧑🏿	couple, dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang light na kulay ng balat, dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍🧑🏻	couple, katamtamang kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang kulay ng balat, light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍🧑🏼	couple, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍🧑🏾	couple, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang kulay ng balat, katamtamang dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏽‍❤‍🧑🏿	couple, dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang kulay ng balat, dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍🧑🏻	couple, katamtamang dark na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang dark na kulay ng balat, light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍🧑🏼	couple, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍🧑🏽	couple, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏾‍❤‍🧑🏿	couple, dark na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, katamtamang dark na kulay ng balat, dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍🧑🏻	couple, dark na kulay ng balat, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, dark na kulay ng balat, light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍🧑🏼	couple, dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, dark na kulay ng balat, katamtamang light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍🧑🏽	couple, dark na kulay ng balat, katamtamang kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, dark na kulay ng balat, katamtamang kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑🏿‍❤‍🧑🏾	couple, dark na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: tao, tao, dark na kulay ng balat, katamtamang dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta, tao
🧑‍🦰	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, pulang buhok, tao, tao: pulang buhok
🧑🏻‍🦰	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, light na kulay ng balat, matanda, pulang buhok, tao, tao: light na kulay ng balat, pulang buhok
🧑🏼‍🦰	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang light na kulay ng balat, matanda, pulang buhok, tao, tao: katamtamang light na kulay ng balat, pulang buhok
🧑🏽‍🦰	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang kulay ng balat, matanda, pulang buhok, tao, tao: katamtamang kulay ng balat, pulang buhok
🧑🏾‍🦰	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang dark na kulay ng balat, matanda, pulang buhok, tao, tao: katamtamang dark na kulay ng balat, pulang buhok
🧑🏿‍🦰	adult, dark na kulay ng balat, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, pulang buhok, tao, tao: dark na kulay ng balat, pulang buhok
🧑‍🦱	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, kulot na buhok, matanda, tao, tao: kulot na buhok
🧑🏻‍🦱	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, kulot na buhok, light na kulay ng balat, matanda, tao, tao: light na kulay ng balat, kulot na buhok
🧑🏼‍🦱	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang light na kulay ng balat, kulot na buhok, matanda, tao, tao: katamtamang light na kulay ng balat, kulot na buhok
🧑🏽‍🦱	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang kulay ng balat, kulot na buhok, matanda, tao, tao: katamtamang kulay ng balat, kulot na buhok
🧑🏾‍🦱	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang dark na kulay ng balat, kulot na buhok, matanda, tao, tao: katamtamang dark na kulay ng balat, kulot na buhok
🧑🏿‍🦱	adult, dark na kulay ng balat, hindi hindi tinukoy na kasarian, kasarian-neutral, kulot na buhok, matanda, tao, tao: dark na kulay ng balat, kulot na buhok
🧑‍🦳	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, puting buhok, tao, tao: puting buhok
🧑🏻‍🦳	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, light na kulay ng balat, matanda, puting buhok, tao, tao: light na kulay ng balat, puting buhok
🧑🏼‍🦳	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang light na kulay ng balat, matanda, puting buhok, tao, tao: katamtamang light na kulay ng balat, puting buhok
🧑🏽‍🦳	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang kulay ng balat, matanda, puting buhok, tao, tao: katamtamang kulay ng balat, puting buhok
🧑🏾‍🦳	adult, hindi hindi tinukoy na kasarian, kasarian-neutral, katamtamang dark na kulay ng balat, matanda, puting buhok, tao, tao: katamtamang dark na kulay ng balat, puting buhok
🧑🏿‍🦳	adult, dark na kulay ng balat, hindi hindi tinukoy na kasarian, kasarian-neutral, matanda, puting buhok, tao, tao: dark na kulay ng balat, puting buhok
🧑‍🦲	adult, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, matanda, tao, tao: kalbo
🧑🏻‍🦲	adult, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, light na kulay ng balat, matanda, tao, tao: light na kulay ng balat, kalbo
🧑🏼‍🦲	adult, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, katamtamang light na kulay ng balat, matanda, tao, tao: katamtamang light na kulay ng balat, kalbo
🧑🏽‍🦲	adult, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, katamtamang kulay ng balat, matanda, tao, tao: katamtamang kulay ng balat, kalbo
🧑🏾‍🦲	adult, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, katamtamang dark na kulay ng balat, matanda, tao, tao: katamtamang dark na kulay ng balat, kalbo
🧑🏿‍🦲	adult, dark na kulay ng balat, hindi hindi tinukoy na kasarian, kalbo, kasarian-neutral, matanda, tao, tao: dark na kulay ng balat, kalbo
👨	bro, kaibigan, lalaki, matanda, pare
👨🏻	bro, kaibigan, lalaki, lalaki: light na kulay ng balat, light na kulay ng balat, matanda, pare
👨🏼	bro, kaibigan, katamtamang light na kulay ng balat, lalaki, lalaki: katamtamang light na kulay ng balat, matanda, pare
👨🏽	bro, kaibigan, katamtamang kulay ng balat, lalaki, lalaki: katamtamang kulay ng balat, matanda, pare
👨🏾	bro, kaibigan, katamtamang dark na kulay ng balat, lalaki, lalaki: katamtamang dark na kulay ng balat, matanda, pare
👨🏿	bro, dark na kulay ng balat, kaibigan, lalaki, lalaki: dark na kulay ng balat, matanda, pare
🧔	balbas, balbas-sarado, lalaki: balbas, may balbas, tao, taong may balbas
🧔🏻	balbas, balbas-sarado, lalaki: balbas, light na kulay ng balat, may balbas, tao, taong may balbas, taong may balbas: light na kulay ng balat
🧔🏼	balbas, balbas-sarado, katamtamang light na kulay ng balat, lalaki: balbas, may balbas, tao, taong may balbas, taong may balbas: katamtamang light na kulay ng balat
🧔🏽	balbas, balbas-sarado, katamtamang kulay ng balat, lalaki: balbas, may balbas, tao, taong may balbas, taong may balbas: katamtamang kulay ng balat
🧔🏾	balbas, balbas-sarado, katamtamang dark na kulay ng balat, lalaki: balbas, may balbas, tao, taong may balbas, taong may balbas: katamtamang dark na kulay ng balat
🧔🏿	balbas, balbas-sarado, dark na kulay ng balat, lalaki: balbas, may balbas, tao, taong may balbas, taong may balbas: dark na kulay ng balat
🧔‍♂	balbas, lalaki, lalaki: balbas
🧔🏻‍♂	balbas, lalaki, lalaki: balbas, lalaki: light na kulay ng balat, balbas, light na kulay ng balat
🧔🏼‍♂	balbas, katamtamang light na kulay ng balat, lalaki, lalaki: balbas, lalaki: katamtamang light na kulay ng balat, balbas
🧔🏽‍♂	balbas, katamtamang kulay ng balat, lalaki, lalaki: balbas, lalaki: katamtamang kulay ng balat, balbas
🧔🏾‍♂	balbas, katamtamang dark na kulay ng balat, lalaki, lalaki: balbas, lalaki: katamtamang dark na kulay ng balat, balbas
🧔🏿‍♂	balbas, dark na kulay ng balat, lalaki, lalaki: balbas, lalaki: dark na kulay ng balat, balbas
👱‍♂	blonde, lalaki, lalaking blonde
👱🏻‍♂	blonde, lalaki, lalaking blonde, lalaking blonde: light na kulay ng balat, light na kulay ng balat
👱🏼‍♂	blonde, katamtamang light na kulay ng balat, lalaki, lalaking blonde, lalaking blonde: katamtamang light na kulay ng balat
👱🏽‍♂	blonde, katamtamang kulay ng balat, lalaki, lalaking blonde, lalaking blonde: katamtamang kulay ng balat
👱🏾‍♂	blonde, katamtamang dark na kulay ng balat, lalaki, lalaking blonde, lalaking blonde: katamtamang dark na kulay ng balat
👱🏿‍♂	blonde, dark na kulay ng balat, lalaki, lalaking blonde, lalaking blonde: dark na kulay ng balat
👨🏻‍❤‍💋‍👨🏻	couple, halik, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏻‍❤‍💋‍👨🏼	couple, halik, katamtamang light na kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, light na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏻‍❤‍💋‍👨🏽	couple, halik, katamtamang kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, light na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏻‍❤‍💋‍👨🏾	couple, halik, katamtamang dark na kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, light na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏻‍❤‍💋‍👨🏿	couple, dark na kulay ng balat, halik, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, light na kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏼‍❤‍💋‍👨🏻	couple, halik, katamtamang light na kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang light na kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏼‍❤‍💋‍👨🏼	couple, halik, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏼‍❤‍💋‍👨🏽	couple, halik, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang light na kulay ng balat, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏼‍❤‍💋‍👨🏾	couple, halik, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏼‍❤‍💋‍👨🏿	couple, dark na kulay ng balat, halik, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang light na kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏽‍❤‍💋‍👨🏻	couple, halik, katamtamang kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏽‍❤‍💋‍👨🏼	couple, halik, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏽‍❤‍💋‍👨🏽	couple, halik, katamtamang kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏽‍❤‍💋‍👨🏾	couple, halik, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang kulay ng balat, katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏽‍❤‍💋‍👨🏿	couple, dark na kulay ng balat, halik, katamtamang kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang kulay ng balat, dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏾‍❤‍💋‍👨🏻	couple, halik, katamtamang dark na kulay ng balat, lalaki, light na kulay ng balat, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang dark na kulay ng balat, light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨🏾‍❤‍💋‍👨🏼	couple, halik, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
