‾	linha, linha superior, superior
👩🏿‍❤‍👨🏿	casal, casal apaixonado, casal apaixonado: mulher, homem e pele escura, casal com um coração, coração, homem, mulher, pele escura, pessoas, romance
👩🏻‍❤‍👩🏻	casal, casal apaixonado, casal apaixonado: mulher, mulher e pele clara, casal com um coração, coração, mulher, pele clara, pessoas, romance
👩🏻‍❤‍👩🏼	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele clara e pele morena clara, casal com um coração, coração, mulher, pele clara, pele morena clara, pessoas, romance
👩🏻‍❤‍👩🏽	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele clara e pele morena, casal com um coração, coração, mulher, pele clara, pele morena, pessoas, romance
👩🏻‍❤‍👩🏾	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele clara e pele morena escura, casal com um coração, coração, mulher, pele clara, pele morena escura, pessoas, romance
👩🏻‍❤‍👩🏿	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele clara e pele escura, casal com um coração, coração, mulher, pele clara, pele escura, pessoas, romance
👩🏼‍❤‍👩🏻	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena clara e pele clara, casal com um coração, coração, mulher, pele clara, pele morena clara, pessoas, romance
👩🏼‍❤‍👩🏼	casal, casal apaixonado, casal apaixonado: mulher, mulher e pele morena clara, casal com um coração, coração, mulher, pele morena clara, pessoas, romance
👩🏼‍❤‍👩🏽	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena clara e pele morena, casal com um coração, coração, mulher, pele morena, pele morena clara, pessoas, romance
👩🏼‍❤‍👩🏾	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena clara e pele morena escura, casal com um coração, coração, mulher, pele morena clara, pele morena escura, pessoas, romance
👩🏼‍❤‍👩🏿	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena clara e pele escura, casal com um coração, coração, mulher, pele escura, pele morena clara, pessoas, romance
👩🏽‍❤‍👩🏻	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena e pele clara, casal com um coração, coração, mulher, pele clara, pele morena, pessoas, romance
👩🏽‍❤‍👩🏼	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena e pele morena clara, casal com um coração, coração, mulher, pele morena, pele morena clara, pessoas, romance
👩🏽‍❤‍👩🏽	casal, casal apaixonado, casal apaixonado: mulher, mulher e pele morena, casal com um coração, coração, mulher, pele morena, pessoas, romance
👩🏽‍❤‍👩🏾	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena e pele morena escura, casal com um coração, coração, mulher, pele morena, pele morena escura, pessoas, romance
👩🏽‍❤‍👩🏿	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena e pele escura, casal com um coração, coração, mulher, pele escura, pele morena, pessoas, romance
👩🏾‍❤‍👩🏻	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena escura e pele clara, casal com um coração, coração, mulher, pele clara, pele morena escura, pessoas, romance
👩🏾‍❤‍👩🏼	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena escura e pele morena clara, casal com um coração, coração, mulher, pele morena clara, pele morena escura, pessoas, romance
👩🏾‍❤‍👩🏽	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena escura e pele morena, casal com um coração, coração, mulher, pele morena, pele morena escura, pessoas, romance
👩🏾‍❤‍👩🏾	casal, casal apaixonado, casal apaixonado: mulher, mulher e pele morena escura, casal com um coração, coração, mulher, pele morena escura, pessoas, romance
👩🏾‍❤‍👩🏿	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele morena escura e pele escura, casal com um coração, coração, mulher, pele escura, pele morena escura, pessoas, romance
👩🏿‍❤‍👩🏻	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele escura e pele clara, casal com um coração, coração, mulher, pele clara, pele escura, pessoas, romance
👩🏿‍❤‍👩🏼	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele escura e pele morena clara, casal com um coração, coração, mulher, pele escura, pele morena clara, pessoas, romance
👩🏿‍❤‍👩🏽	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele escura e pele morena, casal com um coração, coração, mulher, pele escura, pele morena, pessoas, romance
👩🏿‍❤‍👩🏾	casal, casal apaixonado, casal apaixonado: mulher, mulher, pele escura e pele morena escura, casal com um coração, coração, mulher, pele escura, pele morena escura, pessoas, romance
👩🏿‍❤‍👩🏿	casal, casal apaixonado, casal apaixonado: mulher, mulher e pele escura, casal com um coração, coração, mulher, pele escura, pessoas, romance
👩‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: cabelo vermelho
👩🏻‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: pele clara e cabelo vermelho, pele clara
👩🏼‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: pele morena clara e cabelo vermelho, pele morena clara
👩🏽‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: pele morena e cabelo vermelho, pele morena
👩🏾‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: pele morena escura e cabelo vermelho, pele morena escura
👩🏿‍🦰	adulta, cabelo vermelho, garota, guria, loira, menina, mina, mulher, mulher: pele escura e cabelo vermelho, pele escura
👩‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: cabelo cacheado
👩🏻‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: pele clara e cabelo cacheado, pele clara
👩🏼‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: pele morena clara e cabelo cacheado, pele morena clara
👩🏽‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: pele morena e cabelo cacheado, pele morena
👩🏾‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: pele morena escura e cabelo cacheado, pele morena escura
👩🏿‍🦱	adulta, cabelo cacheado, garota, guria, loira, menina, mina, mulher, mulher: pele escura e cabelo cacheado, pele escura
👩‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: cabelo branco
👩🏻‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: pele clara e cabelo branco, pele clara
👩🏼‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: pele morena clara e cabelo branco, pele morena clara
👩🏽‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: pele morena e cabelo branco, pele morena
👩🏾‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: pele morena escura e cabelo branco, pele morena escura
👩🏿‍🦳	adulta, cabelo branco, garota, guria, loira, menina, mina, mulher, mulher: pele escura e cabelo branco, pele escura
👩‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: careca
👩🏻‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: pele clara e careca, pele clara
👩🏼‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: pele morena clara e careca, pele morena clara
👩🏽‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: pele morena e careca, pele morena
👩🏾‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: pele morena escura e careca, pele morena escura
👩🏿‍🦲	adulta, careca, garota, guria, loira, menina, mina, mulher, mulher: pele escura e careca, pele escura
🧓	adulto, adulto mais velho, neutro em termos de gênero, idoso
🧓🏻	adulto, adulto mais velho, neutro em termos de gênero, idoso, idoso: pele clara, pele clara
🧓🏼	adulto, adulto mais velho, neutro em termos de gênero, idoso, idoso: pele morena clara, pele morena clara
🧓🏽	adulto, adulto mais velho, neutro em termos de gênero, idoso, idoso: pele morena, pele morena
🧓🏾	adulto, adulto mais velho, neutro em termos de gênero, idoso, idoso: pele morena escura, pele morena escura
🧓🏿	adulto, adulto mais velho, neutro em termos de gênero, idoso, idoso: pele escura, pele escura
👴	adulto, avô, careca, homem, homem idoso, idoso, pessoas, vovô
👴🏻	adulto, avô, careca, homem, homem idoso: pele clara, idoso, pele clara, pessoas, vovô
👴🏼	adulto, avô, careca, homem, homem idoso: pele morena clara, idoso, pele morena clara, pessoas, vovô
👴🏽	adulto, avô, careca, homem, homem idoso: pele morena, idoso, pele morena, pessoas, vovô
👴🏾	adulto, avô, careca, homem, homem idoso: pele morena escura, idoso, pele morena escura, pessoas, vovô
👴🏿	adulto, avô, careca, homem, homem idoso: pele escura, idoso, pele escura, pessoas, vovô
👵	adulta, idosa, mulher, pessoas, velhinha, vovozinha, vovó
👵🏻	adulta, idosa, idosa: pele clara, mulher, pele clara, pessoas, velhinha, vovozinha, vovó
👵🏼	adulta, idosa, idosa: pele morena clara, mulher, pele morena clara, pessoas, velhinha, vovozinha, vovó
👵🏽	adulta, idosa, idosa: pele morena, mulher, pele morena, pessoas, velhinha, vovozinha, vovó
👵🏾	adulta, idosa, idosa: pele morena escura, mulher, pele morena escura, pessoas, velhinha, vovozinha, vovó
👵🏿	adulta, idosa, idosa: pele escura, mulher, pele escura, pessoas, velhinha, vovozinha, vovó
🙍	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a testa, gesto, pessoa, pessoa franzindo a sobrancelha, triste
🙍🏻	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a sobrancelha: pele clara, franzindo a testa, gesto, pele clara, pessoa, pessoa franzindo a sobrancelha, triste
🙍🏼	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a sobrancelha: pele morena clara, franzindo a testa, gesto, pele morena clara, pessoa, pessoa franzindo a sobrancelha, triste
🙍🏽	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a sobrancelha: pele morena, franzindo a testa, gesto, pele morena, pessoa, pessoa franzindo a sobrancelha, triste
🙍🏾	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a sobrancelha: pele morena escura, franzindo a testa, gesto, pele morena escura, pessoa, pessoa franzindo a sobrancelha, triste
🙍🏿	brava, bravo, chateada, chateado, franzindo a sobrancelha, franzindo a sobrancelha: pele escura, franzindo a testa, gesto, pele escura, pessoa, pessoa franzindo a sobrancelha, triste
🙍‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, magoado, menino
🙍🏻‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, homem franzindo a sobrancelha: pele clara, magoado, menino, pele clara
🙍🏼‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, homem franzindo a sobrancelha: pele morena clara, magoado, menino, pele morena clara
🙍🏽‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, homem franzindo a sobrancelha: pele morena, magoado, menino, pele morena
🙍🏾‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, homem franzindo a sobrancelha: pele morena escura, magoado, menino, pele morena escura
🙍🏿‍♂	carrancudo, chateado, desconfiado, gesto, homem, homem franzindo a sobrancelha, homem franzindo a sobrancelha: pele escura, magoado, menino, pele escura
🙍‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha
🙍🏻‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha, mulher franzindo a sobrancelha: pele clara, pele clara
🙍🏼‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha, mulher franzindo a sobrancelha: pele morena clara, pele morena clara
🙍🏽‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha, mulher franzindo a sobrancelha: pele morena, pele morena
🙍🏾‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha, mulher franzindo a sobrancelha: pele morena escura, pele morena escura
🙍🏿‍♀	carrancuda, desconfiada, mulher, mulher franzindo a sobrancelha, mulher franzindo a sobrancelha: pele escura, pele escura
🙎	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pessoa, pessoa fazendo bico
🙎🏻	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pele clara, pessoa, pessoa fazendo bico, pessoa fazendo bico: pele clara
🙎🏼	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pele morena clara, pessoa, pessoa fazendo bico, pessoa fazendo bico: pele morena clara
🙎🏽	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pele morena, pessoa, pessoa fazendo bico, pessoa fazendo bico: pele morena
🙎🏾	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pele morena escura, pessoa, pessoa fazendo bico, pessoa fazendo bico: pele morena escura
🙎🏿	beicinho, beiço, careta, chateada, chateado, emburrada, emburrado, fazendo bico, gesto, pele escura, pessoa, pessoa fazendo bico, pessoa fazendo bico: pele escura
🙎‍♂	apontando, bico, cara feia, gesto, homem, homem fazendo bico, homen apontando
🙎🏻‍♂	apontando, bico, cara feia, gesto, homem, homem fazendo bico, homem fazendo bico: pele clara, homen apontando, pele clara
🙎🏼‍♂	apontando, bico, cara feia, gesto, homem, homem fazendo bico, homem fazendo bico: pele morena clara, homen apontando, pele morena clara
