‾	nadcrta
🙍🏾‍♀	mrštenje, namrštena žena, namrštena žena: srednje tamna koža, srednje tamna koža, žena
🙍🏿‍♀	mrštenje, namrštena žena, namrštena žena: tamna koža, tamna koža, žena
🙎	cviljenje, durenje, grimasa, mrštenje, nadurena osoba, nadureno, osoba, potišten, razočarenje, uznemiren
🙎🏻	cviljenje, durenje, grimasa, mrštenje, nadurena osoba: svetla koža, nadureno, osoba, potišten, razočarenje, svetla koža, uznemiren
🙎🏼	cviljenje, durenje, grimasa, mrštenje, nadurena osoba: srednje svetla koža, nadureno, osoba, potišten, razočarenje, srednje svetla koža, uznemiren
🙎🏽	cviljenje, durenje, grimasa, mrštenje, nadurena osoba: ni svetla ni tamna koža, nadureno, ni svetla ni tamna koža, osoba, potišten, razočarenje, uznemiren
🙎🏾	cviljenje, durenje, grimasa, mrštenje, nadurena osoba: srednje tamna koža, nadureno, osoba, potišten, razočarenje, srednje tamna koža, uznemiren
🙎🏿	cviljenje, durenje, grimasa, mrštenje, nadurena osoba: tamna koža, nadureno, osoba, potišten, razočarenje, tamna koža, uznemiren
🙎‍♂	durenje, grimasa, muškarac, naduren muškarac, nadureno
🙎🏻‍♂	durenje, grimasa, muškarac, naduren muškarac: svetla koža, nadureno, svetla koža
🙎🏼‍♂	durenje, grimasa, muškarac, naduren muškarac: srednje svetla koža, nadureno, srednje svetla koža
🙎🏽‍♂	durenje, grimasa, muškarac, naduren muškarac: ni svetla ni tamna koža, nadureno, ni svetla ni tamna koža
🙎🏾‍♂	durenje, grimasa, muškarac, naduren muškarac: srednje tamna koža, nadureno, srednje tamna koža
🙎🏿‍♂	durenje, grimasa, muškarac, naduren muškarac: tamna koža, nadureno, tamna koža
🙎‍♀	durenje, nadurena žena, žena
🙎🏻‍♀	durenje, nadurena žena, nadurena žena: svetla koža, svetla koža, žena
🙎🏼‍♀	durenje, nadurena žena, nadurena žena: srednje svetla koža, srednje svetla koža, žena
🙎🏽‍♀	durenje, nadurena žena, nadurena žena: ni svetla ni tamna koža, ni svetla ni tamna koža, žena
🙎🏾‍♀	durenje, nadurena žena, nadurena žena: srednje tamna koža, srednje tamna koža, žena
🙎🏿‍♀	durenje, nadurena žena, nadurena žena: tamna koža, tamna koža, žena
🙅	NE, gestikulacija, lice, nema, osoba koja pokazuje „ne“, ruka, zabranjeno
🙅🏻	NE, gestikulacija, lice, nema, osoba koja pokazuje „ne“: svetla koža, ruka, svetla koža, zabranjeno
🙅🏼	NE, gestikulacija, lice, nema, osoba koja pokazuje „ne“: srednje svetla koža, ruka, srednje svetla koža, zabranjeno
🙅🏽	NE, gestikulacija, lice, nema, ni svetla ni tamna koža, osoba koja pokazuje „ne“: ni svetla ni tamna koža, ruka, zabranjeno
🙅🏾	NE, gestikulacija, lice, nema, osoba koja pokazuje „ne“: srednje tamna koža, ruka, srednje tamna koža, zabranjeno
🙅🏿	NE, gestikulacija, lice, nema, osoba koja pokazuje „ne“: tamna koža, ruka, tamna koža, zabranjeno
🙅‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“, ne, ruka, zabranjeno
🙅🏻‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“: svetla koža, ne, ruka, svetla koža, zabranjeno
🙅🏼‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“: srednje svetla koža, ne, ruka, srednje svetla koža, zabranjeno
🙅🏽‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“: ni svetla ni tamna koža, ne, ni svetla ni tamna koža, ruka, zabranjeno
🙅🏾‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“: srednje tamna koža, ne, ruka, srednje tamna koža, zabranjeno
🙅🏿‍♂	gestikulacija, muškarac, muškarac pokazuje „ne“: tamna koža, ne, ruka, tamna koža, zabranjeno
🙅‍♀	gestikulacija, ne, ruke, žena, žena pokazuje „ne“
🙅🏻‍♀	gestikulacija, ne, ruke, svetla koža, žena, žena pokazuje „ne“, žena pokazuje „ne“: svetla koža
🙅🏼‍♀	gestikulacija, ne, ruke, srednje svetla koža, žena, žena pokazuje „ne“, žena pokazuje „ne“: srednje svetla koža
🙅🏽‍♀	gestikulacija, ne, ni svetla ni tamna koža, ruke, žena, žena pokazuje „ne“, žena pokazuje „ne“: ni svetla ni tamna koža
🙅🏾‍♀	gestikulacija, ne, ruke, srednje tamna koža, žena, žena pokazuje „ne“, žena pokazuje „ne“: srednje tamna koža
🙅🏿‍♀	gestikulacija, ne, ruke, tamna koža, žena, žena pokazuje „ne“, žena pokazuje „ne“: tamna koža
🙆	OK, gestikulacija, omg, osoba, osoba koja pokazuje „u redu“, razgibavanje, ruka
🙆🏻	OK, gestikulacija, omg, osoba, osoba koja pokazuje „u redu“: svetla koža, razgibavanje, ruka, svetla koža
🙆🏼	OK, gestikulacija, omg, osoba, osoba koja pokazuje „u redu“: srednje svetla koža, razgibavanje, ruka, srednje svetla koža
🙆🏽	OK, gestikulacija, ni svetla ni tamna koža, omg, osoba, osoba koja pokazuje „u redu“: ni svetla ni tamna koža, razgibavanje, ruka
🙆🏾	OK, gestikulacija, omg, osoba, osoba koja pokazuje „u redu“: srednje tamna koža, razgibavanje, ruka, srednje tamna koža
🙆🏿	OK, gestikulacija, omg, osoba, osoba koja pokazuje „u redu“: tamna koža, razgibavanje, ruka, tamna koža
🙆‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“, omg, razgibavanje, ruka
🙆🏻‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“: svetla koža, omg, razgibavanje, ruka, svetla koža
🙆🏼‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“: srednje svetla koža, omg, razgibavanje, ruka, srednje svetla koža
🙆🏽‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“: ni svetla ni tamna koža, ni svetla ni tamna koža, omg, razgibavanje, ruka
🙆🏾‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“: srednje tamna koža, omg, razgibavanje, ruka, srednje tamna koža
🙆🏿‍♂	OK, gestikulacija, muškarac, muškarac pokazuje „ok“: tamna koža, omg, razgibavanje, ruka, tamna koža
🙆‍♀	gestikulacija, ok, ruke, žena, žena pokazuje „ok“
🙆🏻‍♀	gestikulacija, ok, ruke, svetla koža, žena, žena pokazuje „ok“, žena pokazuje „ok“: svetla koža
🙆🏼‍♀	gestikulacija, ok, ruke, srednje svetla koža, žena, žena pokazuje „ok“, žena pokazuje „ok“: srednje svetla koža
🙆🏽‍♀	gestikulacija, ni svetla ni tamna koža, ok, ruke, žena, žena pokazuje „ok“, žena pokazuje „ok“: ni svetla ni tamna koža
🙆🏾‍♀	gestikulacija, ok, ruke, srednje tamna koža, žena, žena pokazuje „ok“, žena pokazuje „ok“: srednje tamna koža
🙆🏿‍♀	gestikulacija, ok, ruke, tamna koža, žena, žena pokazuje „ok“, žena pokazuje „ok“: tamna koža
💁	drzak, osoba, osoba koja daje informacije, sarkastičan, sarkazam, trač
💁🏻	drzak, osoba, osoba koja daje informacije: svetla koža, sarkastičan, sarkazam, svetla koža, trač
💁🏼	drzak, osoba, osoba koja daje informacije: srednje svetla koža, sarkastičan, sarkazam, srednje svetla koža, trač
💁🏽	drzak, ni svetla ni tamna koža, osoba, osoba koja daje informacije: ni svetla ni tamna koža, sarkastičan, sarkazam, trač
💁🏾	drzak, osoba, osoba koja daje informacije: srednje tamna koža, sarkastičan, sarkazam, srednje tamna koža, trač
💁🏿	drzak, osoba, osoba koja daje informacije: tamna koža, sarkastičan, sarkazam, tamna koža, trač
💁‍♂	drzak, muškarac, muškarac otkriva namere, sarkastičan, sarkazam, trač
💁🏻‍♂	drzak, muškarac, muškarac otkriva namere: svetla koža, sarkastičan, sarkazam, svetla koža, trač
💁🏼‍♂	drzak, muškarac, muškarac otkriva namere: srednje svetla koža, sarkastičan, sarkazam, srednje svetla koža, trač
💁🏽‍♂	drzak, muškarac, muškarac otkriva namere: ni svetla ni tamna koža, ni svetla ni tamna koža, sarkastičan, sarkazam, trač
💁🏾‍♂	drzak, muškarac, muškarac otkriva namere: srednje tamna koža, sarkastičan, sarkazam, srednje tamna koža, trač
💁🏿‍♂	drzak, muškarac, muškarac otkriva namere: tamna koža, sarkastičan, sarkazam, tamna koža, trač
💁‍♀	gestikulacija, informacije, ruke, žena, žena otkriva namere
💁🏻‍♀	gestikulacija, informacije, ruke, svetla koža, žena, žena otkriva namere, žena otkriva namere: svetla koža
💁🏼‍♀	gestikulacija, informacije, ruke, srednje svetla koža, žena, žena otkriva namere, žena otkriva namere: srednje svetla koža
💁🏽‍♀	gestikulacija, informacije, ni svetla ni tamna koža, ruke, žena, žena otkriva namere, žena otkriva namere: ni svetla ni tamna koža
💁🏾‍♀	gestikulacija, informacije, ruke, srednje tamna koža, žena, žena otkriva namere, žena otkriva namere: srednje tamna koža
💁🏿‍♀	gestikulacija, informacije, ruke, tamna koža, žena, žena otkriva namere, žena otkriva namere: tamna koža
🙋	gestikulacija, izabrati, osoba, ovde, pitanje, podići, ruka, srećna osoba sa podignutom rukom
🙋🏻	gestikulacija, izabrati, osoba, ovde, pitanje, podići, ruka, srećna osoba sa podignutom rukom: svetla koža, svetla koža
🙋🏼	gestikulacija, izabrati, osoba, ovde, pitanje, podići, ruka, srednje svetla koža, srećna osoba sa podignutom rukom: srednje svetla koža
🙋🏽	gestikulacija, izabrati, ni svetla ni tamna koža, osoba, ovde, pitanje, podići, ruka, srećna osoba sa podignutom rukom: ni svetla ni tamna koža
🙋🏾	gestikulacija, izabrati, osoba, ovde, pitanje, podići, ruka, srednje tamna koža, srećna osoba sa podignutom rukom: srednje tamna koža
🙋🏿	gestikulacija, izabrati, osoba, ovde, pitanje, podići, ruka, srećna osoba sa podignutom rukom: tamna koža, tamna koža
🙋‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku, ovde, pitanje, podići, ruka
🙋🏻‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku: svetla koža, ovde, pitanje, podići, ruka, svetla koža
🙋🏼‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku: srednje svetla koža, ovde, pitanje, podići, ruka, srednje svetla koža
🙋🏽‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku: ni svetla ni tamna koža, ni svetla ni tamna koža, ovde, pitanje, podići, ruka
🙋🏾‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku: srednje tamna koža, ovde, pitanje, podići, ruka, srednje tamna koža
🙋🏿‍♂	gestikulacija, izabrati, muškarac, muškarac podiže ruku: tamna koža, ovde, pitanje, podići, ruka, tamna koža
🙋‍♀	gestikulacija, informacije, ruke, žena, žena podiže ruku
🙋🏻‍♀	gestikulacija, informacije, ruke, svetla koža, žena, žena podiže ruku, žena podiže ruku: svetla koža
🙋🏼‍♀	gestikulacija, informacije, ruke, srednje svetla koža, žena, žena podiže ruku, žena podiže ruku: srednje svetla koža
🙋🏽‍♀	gestikulacija, informacije, ni svetla ni tamna koža, ruke, žena, žena podiže ruku, žena podiže ruku: ni svetla ni tamna koža
🙋🏾‍♀	gestikulacija, informacije, ruke, srednje tamna koža, žena, žena podiže ruku, žena podiže ruku: srednje tamna koža
🙋🏿‍♀	gestikulacija, informacije, ruke, tamna koža, žena, žena podiže ruku, žena podiže ruku: tamna koža
🧏	gluv, gluva osoba, osoba, pristupačnost, sluh, uho
🧏🏻	gluv, gluva osoba: svetla koža, osoba, pristupačnost, sluh, svetla koža, uho
🧏🏼	gluv, gluva osoba: srednje svetla koža, osoba, pristupačnost, sluh, srednje svetla koža, uho
🧏🏽	gluv, gluva osoba: ni svetla ni tamna koža, ni svetla ni tamna koža, osoba, pristupačnost, sluh, uho
🧏🏾	gluv, gluva osoba: srednje tamna koža, osoba, pristupačnost, sluh, srednje tamna koža, uho
🧏🏿	gluv, gluva osoba: tamna koža, osoba, pristupačnost, sluh, tamna koža, uho
🧏‍♂	gluv, gluv čovek, čovek
🧏🏻‍♂	gluv, gluv čovek: svetla koža, svetla koža, čovek
🧏🏼‍♂	gluv, gluv čovek: srednje svetla koža, srednje svetla koža, čovek
🧏🏽‍♂	gluv, gluv čovek: ni svetla ni tamna koža, ni svetla ni tamna koža, čovek
🧏🏾‍♂	gluv, gluv čovek: srednje tamna koža, srednje tamna koža, čovek
🧏🏿‍♂	gluv, gluv čovek: tamna koža, tamna koža, čovek
🧏‍♀	gluva, gluva žena, žena
🧏🏻‍♀	gluva, gluva žena: svetla koža, svetla koža, žena
🧏🏼‍♀	gluva, gluva žena: srednje svetla koža, srednje svetla koža, žena
🧏🏽‍♀	gluva, gluva žena: ni svetla ni tamna koža, ni svetla ni tamna koža, žena
🧏🏾‍♀	gluva, gluva žena: srednje tamna koža, srednje tamna koža, žena
🧏🏿‍♀	gluva, gluva žena: tamna koža, tamna koža, žena
🙇	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, osoba, osoba koja se klanja, pokret, sažaljenje, žaljenje
🙇🏻	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, osoba, osoba koja se klanja: svetla koža, pokret, sažaljenje, svetla koža, žaljenje
🙇🏼	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, osoba, osoba koja se klanja: srednje svetla koža, pokret, sažaljenje, srednje svetla koža, žaljenje
🙇🏽	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, ni svetla ni tamna koža, oprostiti, osoba, osoba koja se klanja: ni svetla ni tamna koža, pokret, sažaljenje, žaljenje
🙇🏾	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, osoba, osoba koja se klanja: srednje tamna koža, pokret, sažaljenje, srednje tamna koža, žaljenje
🙇🏿	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, osoba, osoba koja se klanja: tamna koža, pokret, sažaljenje, tamna koža, žaljenje
🙇‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, naklon
🙇🏻‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, muški duboki naklon: svetla koža, naklon, svetla koža
🙇🏼‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, muški duboki naklon: srednje svetla koža, naklon, srednje svetla koža
🙇🏽‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, muški duboki naklon: ni svetla ni tamna koža, naklon, ni svetla ni tamna koža
🙇🏾‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, muški duboki naklon: srednje tamna koža, naklon, srednje tamna koža
🙇🏿‍♂	gestikulacija, izvinjenje, muškarac, muški duboki naklon, muški duboki naklon: tamna koža, naklon, tamna koža
🙇‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, pokret, sažaljenje, žaljenje, žena, ženski duboki naklon
🙇🏻‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, pokret, sažaljenje, svetla koža, žaljenje, žena, ženski duboki naklon: svetla koža
🙇🏼‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, pokret, sažaljenje, srednje svetla koža, žaljenje, žena, ženski duboki naklon: srednje svetla koža
🙇🏽‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, ni svetla ni tamna koža, oprostiti, pokret, sažaljenje, žaljenje, žena, ženski duboki naklon: ni svetla ni tamna koža
🙇🏾‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, pokret, sažaljenje, srednje tamna koža, žaljenje, žena, ženski duboki naklon: srednje tamna koža
🙇🏿‍♀	gestikulacija, izvini, izvinjenje, klanjanje, kretanje, meditacija, meditirati, moliti, naklon, oprostiti, pokret, sažaljenje, tamna koža, žaljenje, žena, ženski duboki naklon: tamna koža
🤦	glupost, kajanje, neverica, ogorčenost, omg, osoba, pobogu, pokret, čelo, šaka, šaka o čelo, šok
🤦🏻	glupost, kajanje, neverica, ogorčenost, omg, osoba, pobogu, pokret, svetla koža, čelo, šaka, šaka o čelo: svetla koža, šok
🤦🏼	glupost, kajanje, neverica, ogorčenost, omg, osoba, pobogu, pokret, srednje svetla koža, čelo, šaka, šaka o čelo: srednje svetla koža, šok
🤦🏽	glupost, kajanje, neverica, ni svetla ni tamna koža, ogorčenost, omg, osoba, pobogu, pokret, čelo, šaka, šaka o čelo: ni svetla ni tamna koža, šok
🤦🏾	glupost, kajanje, neverica, ogorčenost, omg, osoba, pobogu, pokret, srednje tamna koža, čelo, šaka, šaka o čelo: srednje tamna koža, šok
🤦🏿	glupost, kajanje, neverica, ogorčenost, omg, osoba, pobogu, pokret, tamna koža, čelo, šaka, šaka o čelo: tamna koža, šok
