‾	үстіңгі сызық
🤦🏾‍♀	5-тері түсі, айтуға сөз таппай тұрған әйел, айтуға сөз таппай тұрған әйел: 5-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
🤦🏿‍♀	6-тері түсі, айтуға сөз таппай тұрған әйел, айтуға сөз таппай тұрған әйел: 6-тері түсі, алақан, бет, бетім-ай, бетін қолмен жабу, бетін қолмен жапқан әйел адам, долдану, масқара, сенбеу, сене алар емеспін, сөзім жоқ, түңілу, фейспалм, шок, қол, әйел, әйел адам, өкіну
🤷	адам, белгі, білмегендік, білмегендік белгісі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏻	1–2 тері түсі, адам, белгі, білмегендік, білмегендік белгісі, білмегендік белгісі: 1–2 тері түсі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏼	3-тері түрі, адам, белгі, білмегендік, білмегендік белгісі, білмегендік белгісі: 3-тері түрі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏽	4-тері түсі, адам, белгі, білмегендік, білмегендік белгісі, білмегендік белгісі: 4-тері түсі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏾	5-тері түсі, адам, белгі, білмегендік, білмегендік белгісі, білмегендік белгісі: 5-тері түсі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏿	6-тері түсі, адам, белгі, білмегендік, білмегендік белгісі, білмегендік белгісі: 6-тері түсі, білмеймін, білмеу, иығын көтеру, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷‍♂	білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏻‍♂	1–2 тері түсі, білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, иығын көтеріп тұрған ер: 1–2 тері түсі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏼‍♂	3-тері түрі, білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, иығын көтеріп тұрған ер: 3-тері түрі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏽‍♂	4-тері түсі, білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, иығын көтеріп тұрған ер: 4-тері түсі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏾‍♂	5-тері түсі, білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, иығын көтеріп тұрған ер: 5-тері түсі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷🏿‍♂	6-тері түсі, білмеймін, білмеу, ер, ер адам, иығын көтеру, иығын көтеріп тұрған ер, иығын көтеріп тұрған ер: 6-тері түсі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін
🤷‍♀	білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🤷🏻‍♀	1–2 тері түсі, білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, иығын көтеріп тұрған әйел: 1–2 тері түсі, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🤷🏼‍♀	3-тері түрі, білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, иығын көтеріп тұрған әйел: 3-тері түрі, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🤷🏽‍♀	4-тері түсі, білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, иығын көтеріп тұрған әйел: 4-тері түсі, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🤷🏾‍♀	5-тері түсі, білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, иығын көтеріп тұрған әйел: 5-тері түсі, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🤷🏿‍♀	6-тері түсі, білмеймін, білмеу, иығын көтеру, иығын көтеріп тұрған әйел, иығын көтеріп тұрған әйел: 6-тері түсі, кім біледі, кім білсін, күдіктену, күмән, күмәндану, мен қайдан білемін, мүмкін, солай шығар, құдай білсін, әйел, әйел адам
🧑‍⚕	денсаулық сақтау, дәрігер, медбике, медициналық қызметкер, терапевт
🧑🏻‍⚕	1–2 тері түсі, денсаулық сақтау, дәрігер, медбике, медициналық қызметкер, медициналық қызметкер: 1–2 тері түсі, терапевт
🧑🏼‍⚕	3-тері түрі, денсаулық сақтау, дәрігер, медбике, медициналық қызметкер, медициналық қызметкер: 3-тері түрі, терапевт
