‾	ülakriips
🙍🏾‍♀	ilme, keskmiselt tume nahatoon, kulmu kortsutav naine, kulmu kortsutav naine: keskmiselt tume nahatoon, kulmukortsutus, naine
🙍🏿‍♀	ilme, kulmu kortsutav naine, kulmu kortsutav naine: tume nahatoon, kulmukortsutus, naine, tume nahatoon
🙎	grimass, ilme, inimene, kulmukortsutus, mossis, mossitav, mossitav inimene, pettunud, vinguv, ärritunud
🙎🏻	grimass, hele nahatoon, ilme, inimene, kulmukortsutus, mossis, mossitav, mossitav inimene: hele nahatoon, pettunud, vinguv, ärritunud
🙎🏼	grimass, ilme, inimene, keskmiselt hele nahatoon, kulmukortsutus, mossis, mossitav, mossitav inimene: keskmiselt hele nahatoon, pettunud, vinguv, ärritunud
🙎🏽	grimass, ilme, inimene, keskmine nahatoon, kulmukortsutus, mossis, mossitav, mossitav inimene: keskmine nahatoon, pettunud, vinguv, ärritunud
🙎🏾	grimass, ilme, inimene, keskmiselt tume nahatoon, kulmukortsutus, mossis, mossitav, mossitav inimene: keskmiselt tume nahatoon, pettunud, vinguv, ärritunud
🙎🏿	grimass, ilme, inimene, kulmukortsutus, mossis, mossitav, mossitav inimene: tume nahatoon, pettunud, tume nahatoon, vinguv, ärritunud
🙎‍♂	grimass, kulmukortsutus, mees, mossis, mossitav, mossitav mees, pahane, pahur, pettunud, vinguv, ärritunud
🙎🏻‍♂	grimass, hele nahatoon, kulmukortsutus, mees, mossis, mossitav, mossitav mees: hele nahatoon, pahane, pahur, pettunud, vinguv, ärritunud
🙎🏼‍♂	grimass, keskmiselt hele nahatoon, kulmukortsutus, mees, mossis, mossitav, mossitav mees: keskmiselt hele nahatoon, pahane, pahur, pettunud, vinguv, ärritunud
🙎🏽‍♂	grimass, keskmine nahatoon, kulmukortsutus, mees, mossis, mossitav, mossitav mees: keskmine nahatoon, pahane, pahur, pettunud, vinguv, ärritunud
🙎🏾‍♂	grimass, keskmiselt tume nahatoon, kulmukortsutus, mees, mossis, mossitav, mossitav mees: keskmiselt tume nahatoon, pahane, pahur, pettunud, vinguv, ärritunud
🙎🏿‍♂	grimass, kulmukortsutus, mees, mossis, mossitav, mossitav mees: tume nahatoon, pahane, pahur, pettunud, tume nahatoon, vinguv, ärritunud
🙎‍♀	ilme, mossis, mossitav, mossitav naine, naine
🙎🏻‍♀	hele nahatoon, ilme, mossis, mossitav, mossitav naine: hele nahatoon, naine
🙎🏼‍♀	ilme, keskmiselt hele nahatoon, mossis, mossitav, mossitav naine: keskmiselt hele nahatoon, naine
🙎🏽‍♀	ilme, keskmine nahatoon, mossis, mossitav, mossitav naine: keskmine nahatoon, naine
🙎🏾‍♀	ilme, keskmiselt tume nahatoon, mossis, mossitav, mossitav naine: keskmiselt tume nahatoon, naine
🙎🏿‍♀	ilme, mossis, mossitav, mossitav naine: tume nahatoon, naine, tume nahatoon
🙅	ei, eitav, eitav žest, inimene, keelama, keelatud, käsi, žest
🙅🏻	ei, eitav, eitav žest: hele nahatoon, hele nahatoon, inimene, keelama, keelatud, käsi, žest
🙅🏼	ei, eitav, eitav žest: keskmiselt hele nahatoon, inimene, keelama, keelatud, keskmiselt hele nahatoon, käsi, žest
🙅🏽	ei, eitav, eitav žest: keskmine nahatoon, inimene, keelama, keelatud, keskmine nahatoon, käsi, žest
🙅🏾	ei, eitav, eitav žest: keskmiselt tume nahatoon, inimene, keelama, keelatud, keskmiselt tume nahatoon, käsi, žest
🙅🏿	ei, eitav, eitav žest: tume nahatoon, inimene, keelama, keelatud, käsi, tume nahatoon, žest
🙅‍♂	ei, eitav, eitavat žesti näitav mees, keelama, keelatud, käsi, mees, žest
🙅🏻‍♂	ei, eitav, eitavat žesti näitav mees: hele nahatoon, hele nahatoon, keelama, keelatud, käsi, mees, žest
🙅🏼‍♂	ei, eitav, eitavat žesti näitav mees: keskmiselt hele nahatoon, keelama, keelatud, keskmiselt hele nahatoon, käsi, mees, žest
🙅🏽‍♂	ei, eitav, eitavat žesti näitav mees: keskmine nahatoon, keelama, keelatud, keskmine nahatoon, käsi, mees, žest
🙅🏾‍♂	ei, eitav, eitavat žesti näitav mees: keskmiselt tume nahatoon, keelama, keelatud, keskmiselt tume nahatoon, käsi, mees, žest
🙅🏿‍♂	ei, eitav, eitavat žesti näitav mees: tume nahatoon, keelama, keelatud, käsi, mees, tume nahatoon, žest
🙅‍♀	eitavat žesti näitav naine, keelatud, käed ristis, naine, žest
🙅🏻‍♀	eitavat žesti näitav naine, eitavat žesti näitav naine: hele nahatoon, hele nahatoon, keelatud, käed ristis, naine, žest
🙅🏼‍♀	eitavat žesti näitav naine, eitavat žesti näitav naine: keskmiselt hele nahatoon, keelatud, keskmiselt hele nahatoon, käed ristis, naine, žest
🙅🏽‍♀	eitavat žesti näitav naine, eitavat žesti näitav naine: keskmine nahatoon, keelatud, keskmine nahatoon, käed ristis, naine, žest
🙅🏾‍♀	eitavat žesti näitav naine, eitavat žesti näitav naine: keskmiselt tume nahatoon, keelatud, keskmiselt tume nahatoon, käed ristis, naine, žest
🙅🏿‍♀	eitavat žesti näitav naine, eitavat žesti näitav naine: tume nahatoon, keelatud, käed ristis, naine, tume nahatoon, žest
🙆	OK, inimene, käsi, liigutus, nõustuv žest, omg, võimlemine, žest
🙆🏻	OK, hele nahatoon, inimene, käsi, liigutus, nõustuv žest: hele nahatoon, omg, võimlemine, žest
🙆🏼	OK, inimene, keskmiselt hele nahatoon, käsi, liigutus, nõustuv žest: keskmiselt hele nahatoon, omg, võimlemine, žest
🙆🏽	OK, inimene, keskmine nahatoon, käsi, liigutus, nõustuv žest: keskmine nahatoon, omg, võimlemine, žest
🙆🏾	OK, inimene, keskmiselt tume nahatoon, käsi, liigutus, nõustuv žest: keskmiselt tume nahatoon, omg, võimlemine, žest
🙆🏿	OK, inimene, käsi, liigutus, nõustuv žest: tume nahatoon, omg, tume nahatoon, võimlemine, žest
🙆‍♂	OK, käsi, liigutus, mees, nõustuvat žesti näitav mees, omg, võimlemine, žest
🙆🏻‍♂	OK, hele nahatoon, käsi, liigutus, mees, nõustuvat žesti näitav mees: hele nahatoon, omg, võimlemine, žest
🙆🏼‍♂	OK, keskmiselt hele nahatoon, käsi, liigutus, mees, nõustuvat žesti näitav mees: keskmiselt hele nahatoon, omg, võimlemine, žest
🙆🏽‍♂	OK, keskmine nahatoon, käsi, liigutus, mees, nõustuvat žesti näitav mees: keskmine nahatoon, omg, võimlemine, žest
🙆🏾‍♂	OK, keskmiselt tume nahatoon, käsi, liigutus, mees, nõustuvat žesti näitav mees: keskmiselt tume nahatoon, omg, võimlemine, žest
🙆🏿‍♂	OK, käsi, liigutus, mees, nõustuvat žesti näitav mees: tume nahatoon, omg, tume nahatoon, võimlemine, žest
🙆‍♀	korras, käed pea peal, nõustuvat žesti näitav naine, ok, žest
🙆🏻‍♀	hele nahatoon, korras, käed pea peal, nõustuvat žesti näitav naine, nõustuvat žesti näitav naine: hele nahatoon, ok, žest
🙆🏼‍♀	keskmiselt hele nahatoon, korras, käed pea peal, nõustuvat žesti näitav naine, nõustuvat žesti näitav naine: keskmiselt hele nahatoon, ok, žest
🙆🏽‍♀	keskmine nahatoon, korras, käed pea peal, nõustuvat žesti näitav naine, nõustuvat žesti näitav naine: keskmine nahatoon, ok, žest
🙆🏾‍♀	keskmiselt tume nahatoon, korras, käed pea peal, nõustuvat žesti näitav naine, nõustuvat žesti näitav naine: keskmiselt tume nahatoon, ok, žest
🙆🏿‍♀	korras, käed pea peal, nõustuvat žesti näitav naine, nõustuvat žesti näitav naine: tume nahatoon, ok, tume nahatoon, žest
💁	abi, info, infoleti töötaja, inimene, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tõsiselt
💁🏻	abi, hele nahatoon, info, infoleti töötaja, infoleti töötaja: hele nahatoon, inimene, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tõsiselt
💁🏼	abi, info, infoleti töötaja, infoleti töötaja: keskmiselt hele nahatoon, inimene, keskmiselt hele nahatoon, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tõsiselt
💁🏽	abi, info, infoleti töötaja, infoleti töötaja: keskmine nahatoon, inimene, keskmine nahatoon, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tõsiselt
💁🏾	abi, info, infoleti töötaja, infoleti töötaja: keskmiselt tume nahatoon, inimene, keskmiselt tume nahatoon, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tõsiselt
💁🏿	abi, info, infoleti töötaja, infoleti töötaja: tume nahatoon, inimene, kuulujutt, käsi, kõmu, mida iganes, naine, sarkasm, sarkastiline, teave, tume nahatoon, tõsiselt
💁‍♂	heitma, infoleti meestöötaja, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tõsiselt
💁🏻‍♂	heitma, hele nahatoon, infoleti meestöötaja: hele nahatoon, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tõsiselt
💁🏼‍♂	heitma, infoleti meestöötaja: keskmiselt hele nahatoon, keskmiselt hele nahatoon, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tõsiselt
💁🏽‍♂	heitma, infoleti meestöötaja: keskmine nahatoon, keskmine nahatoon, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tõsiselt
💁🏾‍♂	heitma, infoleti meestöötaja: keskmiselt tume nahatoon, keskmiselt tume nahatoon, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tõsiselt
💁🏿‍♂	heitma, infoleti meestöötaja: tume nahatoon, klatšima, käsi, mees, mida iganes, ninakas, nipsama, sarkasm, sarkastiline, tippima, tooma, tume nahatoon, tõsiselt
💁‍♀	abi, infoleti naistöötaja, naine, teave
💁🏻‍♀	abi, hele nahatoon, infoleti naistöötaja, infoleti naistöötaja: hele nahatoon, naine, teave
💁🏼‍♀	abi, infoleti naistöötaja, infoleti naistöötaja: keskmiselt hele nahatoon, keskmiselt hele nahatoon, naine, teave
💁🏽‍♀	abi, infoleti naistöötaja, infoleti naistöötaja: keskmine nahatoon, keskmine nahatoon, naine, teave
💁🏾‍♀	abi, infoleti naistöötaja, infoleti naistöötaja: keskmiselt tume nahatoon, keskmiselt tume nahatoon, naine, teave
💁🏿‍♀	abi, infoleti naistöötaja, infoleti naistöötaja: tume nahatoon, naine, teave, tume nahatoon
🙋	inimene, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, küsimus, mina tean, rõõmus, saan aidata, õnnelik, žest
🙋🏻	hele nahatoon, inimene, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, kätt tõstev rõõmus inimene: hele nahatoon, küsimus, mina tean, rõõmus, saan aidata, õnnelik, žest
🙋🏼	inimene, keskmiselt hele nahatoon, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, kätt tõstev rõõmus inimene: keskmiselt hele nahatoon, küsimus, mina tean, rõõmus, saan aidata, õnnelik, žest
🙋🏽	inimene, keskmine nahatoon, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, kätt tõstev rõõmus inimene: keskmine nahatoon, küsimus, mina tean, rõõmus, saan aidata, õnnelik, žest
🙋🏾	inimene, keskmiselt tume nahatoon, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, kätt tõstev rõõmus inimene: keskmiselt tume nahatoon, küsimus, mina tean, rõõmus, saan aidata, õnnelik, žest
🙋🏿	inimene, käed, käsi, kätt tõstev inimene, kätt tõstev rõõmus inimene, kätt tõstev rõõmus inimene: tume nahatoon, küsimus, mina tean, rõõmus, saan aidata, tume nahatoon, õnnelik, žest
🙋‍♂	käsi, kätt tõstev mees, mees, tervitus, žest
🙋🏻‍♂	hele nahatoon, käsi, kätt tõstev mees, kätt tõstev mees: hele nahatoon, mees, tervitus, žest
🙋🏼‍♂	keskmiselt hele nahatoon, käsi, kätt tõstev mees, kätt tõstev mees: keskmiselt hele nahatoon, mees, tervitus, žest
🙋🏽‍♂	keskmine nahatoon, käsi, kätt tõstev mees, kätt tõstev mees: keskmine nahatoon, mees, tervitus, žest
🙋🏾‍♂	keskmiselt tume nahatoon, käsi, kätt tõstev mees, kätt tõstev mees: keskmiselt tume nahatoon, mees, tervitus, žest
🙋🏿‍♂	käsi, kätt tõstev mees, kätt tõstev mees: tume nahatoon, mees, tervitus, tume nahatoon, žest
🙋‍♀	käsi, kätt tõstev naine, naine, tervitus, žest
🙋🏻‍♀	hele nahatoon, käsi, kätt tõstev naine, kätt tõstev naine: hele nahatoon, naine, tervitus, žest
🙋🏼‍♀	keskmiselt hele nahatoon, käsi, kätt tõstev naine, kätt tõstev naine: keskmiselt hele nahatoon, naine, tervitus, žest
🙋🏽‍♀	keskmine nahatoon, käsi, kätt tõstev naine, kätt tõstev naine: keskmine nahatoon, naine, tervitus, žest
🙋🏾‍♀	keskmiselt tume nahatoon, käsi, kätt tõstev naine, kätt tõstev naine: keskmiselt tume nahatoon, naine, tervitus, žest
🙋🏿‍♀	käsi, kätt tõstev naine, kätt tõstev naine: tume nahatoon, naine, tervitus, tume nahatoon, žest
🧏	juurdepääs, kurt, kurt inimene, kuulmine, kõrv
🧏🏻	hele nahatoon, juurdepääs, kurt, kurt inimene, kurt inimene: hele nahatoon, kuulmine, kõrv
🧏🏼	juurdepääs, keskmiselt hele nahatoon, kurt, kurt inimene, kurt inimene: keskmiselt hele nahatoon, kuulmine, kõrv
🧏🏽	juurdepääs, keskmine nahatoon, kurt, kurt inimene, kurt inimene: keskmine nahatoon, kuulmine, kõrv
🧏🏾	juurdepääs, keskmiselt tume nahatoon, kurt, kurt inimene, kurt inimene: keskmiselt tume nahatoon, kuulmine, kõrv
🧏🏿	juurdepääs, kurt, kurt inimene, kurt inimene: tume nahatoon, kuulmine, kõrv, tume nahatoon
🧏‍♂	kurt, kurt mees, mees
🧏🏻‍♂	hele nahatoon, kurt, kurt mees: hele nahatoon, mees
🧏🏼‍♂	keskmiselt hele nahatoon, kurt, kurt mees: keskmiselt hele nahatoon, mees
🧏🏽‍♂	keskmine nahatoon, kurt, kurt mees: keskmine nahatoon, mees
🧏🏾‍♂	keskmiselt tume nahatoon, kurt, kurt mees: keskmiselt tume nahatoon, mees
🧏🏿‍♂	kurt, kurt mees: tume nahatoon, mees, tume nahatoon
🧏‍♀	kurt, kurt naine, naine
🧏🏻‍♀	hele nahatoon, kurt, kurt naine: hele nahatoon, naine
🧏🏼‍♀	keskmiselt hele nahatoon, kurt, kurt naine: keskmiselt hele nahatoon, naine
🧏🏽‍♀	keskmine nahatoon, kurt, kurt naine: keskmine nahatoon, naine
🧏🏾‍♀	keskmiselt tume nahatoon, kurt, kurt naine: keskmiselt tume nahatoon, naine
🧏🏿‍♀	kurt, kurt naine: tume nahatoon, naine, tume nahatoon
🙇	andestus, anumine, haletsus, inimene, kahetsus, kummardav inimene, kummardus, meditatsioon, mediteerimine, mees, vabandus, vabandust, žest
🙇🏻	andestus, anumine, haletsus, hele nahatoon, inimene, kahetsus, kummardav inimene, kummardav inimene: hele nahatoon, kummardus, meditatsioon, mediteerimine, mees, vabandus, vabandust, žest
🙇🏼	andestus, anumine, haletsus, inimene, kahetsus, keskmiselt hele nahatoon, kummardav inimene, kummardav inimene: keskmiselt hele nahatoon, kummardus, meditatsioon, mediteerimine, mees, vabandus, vabandust, žest
🙇🏽	andestus, anumine, haletsus, inimene, kahetsus, keskmine nahatoon, kummardav inimene, kummardav inimene: keskmine nahatoon, kummardus, meditatsioon, mediteerimine, mees, vabandus, vabandust, žest
🙇🏾	andestus, anumine, haletsus, inimene, kahetsus, keskmiselt tume nahatoon, kummardav inimene, kummardav inimene: keskmiselt tume nahatoon, kummardus, meditatsioon, mediteerimine, mees, vabandus, vabandust, žest
🙇🏿	andestus, anumine, haletsus, inimene, kahetsus, kummardav inimene, kummardav inimene: tume nahatoon, kummardus, meditatsioon, mediteerimine, mees, tume nahatoon, vabandus, vabandust, žest
🙇‍♂	kummardus, mees, sügavalt kummarduv mees, vabandus, žest
🙇🏻‍♂	hele nahatoon, kummardus, mees, sügavalt kummarduv mees, sügavalt kummarduv mees: hele nahatoon, vabandus, žest
🙇🏼‍♂	keskmiselt hele nahatoon, kummardus, mees, sügavalt kummarduv mees, sügavalt kummarduv mees: keskmiselt hele nahatoon, vabandus, žest
🙇🏽‍♂	keskmine nahatoon, kummardus, mees, sügavalt kummarduv mees, sügavalt kummarduv mees: keskmine nahatoon, vabandus, žest
🙇🏾‍♂	keskmiselt tume nahatoon, kummardus, mees, sügavalt kummarduv mees, sügavalt kummarduv mees: keskmiselt tume nahatoon, vabandus, žest
🙇🏿‍♂	kummardus, mees, sügavalt kummarduv mees, sügavalt kummarduv mees: tume nahatoon, tume nahatoon, vabandus, žest
🙇‍♀	haledus, inimene, kahetsus, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine, vabandus, žest
🙇🏻‍♀	haledus, hele nahatoon, inimene, kahetsus, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine: hele nahatoon, vabandus, žest
🙇🏼‍♀	haledus, inimene, kahetsus, keskmiselt hele nahatoon, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine: keskmiselt hele nahatoon, vabandus, žest
🙇🏽‍♀	haledus, inimene, kahetsus, keskmine nahatoon, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine: keskmine nahatoon, vabandus, žest
🙇🏾‍♀	haledus, inimene, kahetsus, keskmiselt tume nahatoon, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine: keskmiselt tume nahatoon, vabandus, žest
🙇🏿‍♀	haledus, inimene, kahetsus, kummardama, kummardus, kummarduv, küsima, meditatsioon, mediteerima, naine, paluma, sügavalt kummarduv naine: tume nahatoon, tume nahatoon, vabandus, žest
🤦	aa, ei, hämming, inimene, jälle, lööma, meeleheide, mitte, nägu, omg, segadus, šokk
🤦🏻	aa, ei, hele nahatoon, hämming, inimene, jälle, lööma, meeleheide, meeleheide: hele nahatoon, mitte, nägu, omg, segadus, šokk
🤦🏼	aa, ei, hämming, inimene, jälle, keskmiselt hele nahatoon, lööma, meeleheide, meeleheide: keskmiselt hele nahatoon, mitte, nägu, omg, segadus, šokk
🤦🏽	aa, ei, hämming, inimene, jälle, keskmine nahatoon, lööma, meeleheide, meeleheide: keskmine nahatoon, mitte, nägu, omg, segadus, šokk
🤦🏾	aa, ei, hämming, inimene, jälle, keskmiselt tume nahatoon, lööma, meeleheide, meeleheide: keskmiselt tume nahatoon, mitte, nägu, omg, segadus, šokk
