‾	traço sobrescrito
🧑🏾‍❤‍🧑🏻	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 5 e tipo de pele 1–2, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 5
🧑🏾‍❤‍🧑🏼	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 5 e tipo de pele 3, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 5
🧑🏾‍❤‍🧑🏽	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 5 e tipo de pele 4, casal com um coração, coração, pessoa, romance, tipo de pele 4, tipo de pele 5
🧑🏾‍❤‍🧑🏿	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 5 e tipo de pele 6, casal com um coração, coração, pessoa, romance, tipo de pele 5, tipo de pele 6
🧑🏿‍❤‍🧑🏻	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 6 e tipo de pele 1–2, casal com um coração, coração, pessoa, romance, tipo de pele 1–2, tipo de pele 6
🧑🏿‍❤‍🧑🏼	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 6 e tipo de pele 3, casal com um coração, coração, pessoa, romance, tipo de pele 3, tipo de pele 6
🧑🏿‍❤‍🧑🏽	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 6 e tipo de pele 4, casal com um coração, coração, pessoa, romance, tipo de pele 4, tipo de pele 6
🧑🏿‍❤‍🧑🏾	amor, casal, casal com coração, casal com coração: pessoa, pessoa, tipo de pele 6 e tipo de pele 5, casal com um coração, coração, pessoa, romance, tipo de pele 5, tipo de pele 6
🧑‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: cabelo ruivo
🧑🏻‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: tipo de pele 1–2 e cabelo ruivo, tipo de pele 1–2
🧑🏼‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: tipo de pele 3 e cabelo ruivo, tipo de pele 3
🧑🏽‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: tipo de pele 4 e cabelo ruivo, tipo de pele 4
🧑🏾‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: tipo de pele 5 e cabelo ruivo, tipo de pele 5
🧑🏿‍🦰	adulta, adulto, cabelo ruivo, género neutro, pessoa, pessoa: tipo de pele 6 e cabelo ruivo, tipo de pele 6
🧑‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: cabelo encaracolado
🧑🏻‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: tipo de pele 1–2 e cabelo encaracolado, tipo de pele 1–2
🧑🏼‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: tipo de pele 3 e cabelo encaracolado, tipo de pele 3
🧑🏽‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: tipo de pele 4 e cabelo encaracolado, tipo de pele 4
🧑🏾‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: tipo de pele 5 e cabelo encaracolado, tipo de pele 5
🧑🏿‍🦱	adulta, adulto, cabelo encaracolado, género neutro, pessoa, pessoa: tipo de pele 6 e cabelo encaracolado, tipo de pele 6
🧑‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa
🧑🏻‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa, pessoa: tipo de pele 1–2 e cabelo branco, tipo de pele 1–2
🧑🏼‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa, pessoa: tipo de pele 3 e cabelo branco, tipo de pele 3
🧑🏽‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa, pessoa: tipo de pele 4 e cabelo branco, tipo de pele 4
🧑🏾‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa, pessoa: tipo de pele 5 e cabelo branco, tipo de pele 5
🧑🏿‍🦳	adulta, adulto, cabelo branco, género neutro, pessoa, pessoa: tipo de pele 6 e cabelo branco, tipo de pele 6
🧑‍🦲	adulta, adulto, careca, género neutro, pessoa
🧑🏻‍🦲	adulta, adulto, careca, género neutro, pessoa, pessoa: tipo de pele 1–2 e careca, tipo de pele 1–2
🧑🏼‍🦲	adulta, adulto, careca, género neutro, pessoa, pessoa: tipo de pele 3 e careca, tipo de pele 3
🧑🏽‍🦲	adulta, adulto, careca, género neutro, pessoa, pessoa: tipo de pele 4 e careca, tipo de pele 4
🧑🏾‍🦲	adulta, adulto, careca, género neutro, pessoa, pessoa: tipo de pele 5 e careca, tipo de pele 5
🧑🏿‍🦲	adulta, adulto, careca, género neutro, pessoa, pessoa: tipo de pele 6 e careca, tipo de pele 6
👨	adulto, amigo, homem, namorado, pessoa, rapaz
👨🏻	adulto, amigo, homem, homem: tipo de pele 1–2, namorado, pessoa, rapaz, tipo de pele 1–2
👨🏼	adulto, amigo, homem, homem: tipo de pele 3, namorado, pessoa, rapaz, tipo de pele 3
👨🏽	adulto, amigo, homem, homem: tipo de pele 4, namorado, pessoa, rapaz, tipo de pele 4
👨🏾	adulto, amigo, homem, homem: tipo de pele 5, namorado, pessoa, rapaz, tipo de pele 5
👨🏿	adulto, amigo, homem, homem: tipo de pele 6, namorado, pessoa, rapaz, tipo de pele 6
🧔	barba, barbudo, homem, pessoa, pessoa: barba
🧔🏻	barba, barbudo, homem, pessoa, pessoa: barba, pessoa: tipo de pele 1–2 e barba, tipo de pele 1–2
🧔🏼	barba, barbudo, homem, pessoa, pessoa: barba, pessoa: tipo de pele 3 e barba, tipo de pele 3
🧔🏽	barba, barbudo, homem, pessoa, pessoa: barba, pessoa: tipo de pele 4 e barba, tipo de pele 4
🧔🏾	barba, barbudo, homem, pessoa, pessoa: barba, pessoa: tipo de pele 5 e barba, tipo de pele 5
🧔🏿	barba, barbudo, homem, pessoa, pessoa: barba, pessoa: tipo de pele 6 e barba, tipo de pele 6
🧔‍♂	homem: barba
🧔🏻‍♂	barba, homem, homem: barba, homem: barbudo, homem: tipo de pele 1–2 e barba, tipo de pele 1–2
🧔🏼‍♂	barba, homem, homem: barba, homem: barbudo, homem: tipo de pele 3 e barba, tipo de pele 3
🧔🏽‍♂	barba, homem, homem: barba, homem: barbudo, homem: tipo de pele 4 e barba, tipo de pele 4
🧔🏾‍♂	barba, homem, homem: barba, homem: barbudo, homem: tipo de pele 5 e barba, tipo de pele 5
🧔🏿‍♂	barba, homem, homem: barba, homem: barbudo, homem: tipo de pele 6 e barba, tipo de pele 6
👱‍♂	homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, louro
👱🏻‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, homem: tipo de pele 1–2 e cabelo loiro, louro, tipo de pele 1–2
👱🏼‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, homem: tipo de pele 3 e cabelo loiro, louro, tipo de pele 3
👱🏽‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, homem: tipo de pele 4 e cabelo loiro, louro, tipo de pele 4
👱🏾‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, homem: tipo de pele 5 e cabelo loiro, louro, tipo de pele 5
👱🏿‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, homem: tipo de pele 6 e cabelo loiro, louro, tipo de pele 6
👨🏻‍❤‍💋‍👨🏻	amor, aniversário, beijo, beijo: homem, homem e tipo de pele 1–2, casal, homem, romance, tipo de pele 1–2
👨🏻‍❤‍💋‍👨🏼	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 1–2 e tipo de pele 3, casal, homem, romance, tipo de pele 1–2, tipo de pele 3
👨🏻‍❤‍💋‍👨🏽	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 1–2 e tipo de pele 4, casal, homem, romance, tipo de pele 1–2, tipo de pele 4
👨🏻‍❤‍💋‍👨🏾	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 1–2 e tipo de pele 5, casal, homem, romance, tipo de pele 1–2, tipo de pele 5
👨🏻‍❤‍💋‍👨🏿	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 1–2 e tipo de pele 6, casal, homem, romance, tipo de pele 1–2, tipo de pele 6
👨🏼‍❤‍💋‍👨🏻	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 3 e tipo de pele 1–2, casal, homem, romance, tipo de pele 1–2, tipo de pele 3
👨🏼‍❤‍💋‍👨🏼	amor, aniversário, beijo, beijo: homem, homem e tipo de pele 3, casal, homem, romance, tipo de pele 3
👨🏼‍❤‍💋‍👨🏽	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 3 e tipo de pele 4, casal, homem, romance, tipo de pele 3, tipo de pele 4
👨🏼‍❤‍💋‍👨🏾	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 3 e tipo de pele 5, casal, homem, romance, tipo de pele 3, tipo de pele 5
👨🏼‍❤‍💋‍👨🏿	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 3 e tipo de pele 6, casal, homem, romance, tipo de pele 3, tipo de pele 6
👨🏽‍❤‍💋‍👨🏻	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 4 e tipo de pele 1–2, casal, homem, romance, tipo de pele 1–2, tipo de pele 4
👨🏽‍❤‍💋‍👨🏼	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 4 e tipo de pele 3, casal, homem, romance, tipo de pele 3, tipo de pele 4
👨🏽‍❤‍💋‍👨🏽	amor, aniversário, beijo, beijo: homem, homem e tipo de pele 4, casal, homem, romance, tipo de pele 4
👨🏽‍❤‍💋‍👨🏾	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 4 e tipo de pele 5, casal, homem, romance, tipo de pele 4, tipo de pele 5
👨🏽‍❤‍💋‍👨🏿	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 4 e tipo de pele 6, casal, homem, romance, tipo de pele 4, tipo de pele 6
👨🏾‍❤‍💋‍👨🏻	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 5 e tipo de pele 1–2, casal, homem, romance, tipo de pele 1–2, tipo de pele 5
👨🏾‍❤‍💋‍👨🏼	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 5 e tipo de pele 3, casal, homem, romance, tipo de pele 3, tipo de pele 5
👨🏾‍❤‍💋‍👨🏽	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 5 e tipo de pele 4, casal, homem, romance, tipo de pele 4, tipo de pele 5
👨🏾‍❤‍💋‍👨🏾	amor, aniversário, beijo, beijo: homem, homem e tipo de pele 5, casal, homem, romance, tipo de pele 5
👨🏾‍❤‍💋‍👨🏿	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 5 e tipo de pele 6, casal, homem, romance, tipo de pele 5, tipo de pele 6
👨🏿‍❤‍💋‍👨🏻	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 6 e tipo de pele 1–2, casal, homem, romance, tipo de pele 1–2, tipo de pele 6
👨🏿‍❤‍💋‍👨🏼	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 6 e tipo de pele 3, casal, homem, romance, tipo de pele 3, tipo de pele 6
👨🏿‍❤‍💋‍👨🏽	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 6 e tipo de pele 4, casal, homem, romance, tipo de pele 4, tipo de pele 6
👨🏿‍❤‍💋‍👨🏾	amor, aniversário, beijo, beijo: homem, homem, tipo de pele 6 e tipo de pele 5, casal, homem, romance, tipo de pele 5, tipo de pele 6
👨🏿‍❤‍💋‍👨🏿	amor, aniversário, beijo, beijo: homem, homem e tipo de pele 6, casal, homem, romance, tipo de pele 6
👨🏻‍❤‍👨🏻	amor, casal, casal com coração, casal com coração: homem, homem e tipo de pele 1–2, casal com um coração, coração, homem, romance, tipo de pele 1–2
👨🏻‍❤‍👨🏼	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 1–2 e tipo de pele 3, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 3
👨🏻‍❤‍👨🏽	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 1–2 e tipo de pele 4, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 4
👨🏻‍❤‍👨🏾	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 1–2 e tipo de pele 5, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 5
👨🏻‍❤‍👨🏿	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 1–2 e tipo de pele 6, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 6
👨🏼‍❤‍👨🏻	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 3 e tipo de pele 1–2, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 3
👨🏼‍❤‍👨🏼	amor, casal, casal com coração, casal com coração: homem, homem e tipo de pele 3, casal com um coração, coração, homem, romance, tipo de pele 3
👨🏼‍❤‍👨🏽	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 3 e tipo de pele 4, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 4
👨🏼‍❤‍👨🏾	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 3 e tipo de pele 5, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 5
👨🏼‍❤‍👨🏿	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 3 e tipo de pele 6, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 6
👨🏽‍❤‍👨🏻	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 4 e tipo de pele 1–2, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 4
👨🏽‍❤‍👨🏼	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 4 e tipo de pele 3, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 4
👨🏽‍❤‍👨🏽	amor, casal, casal com coração, casal com coração: homem, homem e tipo de pele 4, casal com um coração, coração, homem, romance, tipo de pele 4
👨🏽‍❤‍👨🏾	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 4 e tipo de pele 5, casal com um coração, coração, homem, romance, tipo de pele 4, tipo de pele 5
👨🏽‍❤‍👨🏿	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 4 e tipo de pele 6, casal com um coração, coração, homem, romance, tipo de pele 4, tipo de pele 6
👨🏾‍❤‍👨🏻	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 5 e tipo de pele 1–2, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 5
👨🏾‍❤‍👨🏼	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 5 e tipo de pele 3, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 5
👨🏾‍❤‍👨🏽	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 5 e tipo de pele 4, casal com um coração, coração, homem, romance, tipo de pele 4, tipo de pele 5
👨🏾‍❤‍👨🏾	amor, casal, casal com coração, casal com coração: homem, homem e tipo de pele 5, casal com um coração, coração, homem, romance, tipo de pele 5
👨🏾‍❤‍👨🏿	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 5 e tipo de pele 6, casal com um coração, coração, homem, romance, tipo de pele 5, tipo de pele 6
👨🏿‍❤‍👨🏻	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 6 e tipo de pele 1–2, casal com um coração, coração, homem, romance, tipo de pele 1–2, tipo de pele 6
👨🏿‍❤‍👨🏼	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 6 e tipo de pele 3, casal com um coração, coração, homem, romance, tipo de pele 3, tipo de pele 6
👨🏿‍❤‍👨🏽	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 6 e tipo de pele 4, casal com um coração, coração, homem, romance, tipo de pele 4, tipo de pele 6
👨🏿‍❤‍👨🏾	amor, casal, casal com coração, casal com coração: homem, homem, tipo de pele 6 e tipo de pele 5, casal com um coração, coração, homem, romance, tipo de pele 5, tipo de pele 6
👨🏿‍❤‍👨🏿	amor, casal, casal com coração, casal com coração: homem, homem e tipo de pele 6, casal com um coração, coração, homem, romance, tipo de pele 6
👨‍🦰	adulto, amigo, cabelo ruivo, homem, homem: cabelo ruivo, namorado, pessoa, rapaz
👨🏻‍🦰	adulto, amigo, cabelo ruivo, homem, homem: tipo de pele 1–2 e cabelo ruivo, namorado, pessoa, rapaz, tipo de pele 1–2
👨🏼‍🦰	adulto, amigo, cabelo ruivo, homem, homem: tipo de pele 3 e cabelo ruivo, namorado, pessoa, rapaz, tipo de pele 3
👨🏽‍🦰	adulto, amigo, cabelo ruivo, homem, homem: tipo de pele 4 e cabelo ruivo, namorado, pessoa, rapaz, tipo de pele 4
👨🏾‍🦰	adulto, amigo, cabelo ruivo, homem, homem: tipo de pele 5 e cabelo ruivo, namorado, pessoa, rapaz, tipo de pele 5
👨🏿‍🦰	adulto, amigo, cabelo ruivo, homem, homem: tipo de pele 6 e cabelo ruivo, namorado, pessoa, rapaz, tipo de pele 6
👨‍🦱	adulto, amigo, cabelo encaracolado, homem, homem: cabelo encaracolado, namorado, pessoa, rapaz
👨🏻‍🦱	adulto, amigo, cabelo encaracolado, homem, homem: tipo de pele 1–2 e cabelo encaracolado, namorado, pessoa, rapaz, tipo de pele 1–2
